row_label_raw,row_label_full,col_0,Dịch vụ môi giới bất đông sảnVND,Dịch vụ khácVND,Loại trừ nội bộ và điều chỉnhVND,Tổng cộngVND,numeric__Dịch vụ môi giới bất đông sảnVND,numeric__Dịch vụ khácVND,numeric__Loại trừ nội bộ và điều chỉnhVND,numeric__Tổng cộngVND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,
Tiền,Tài sản > Tiền,Tiền,153.419.308.728,13.100.239.762,-,166.519.548.490,153419308728.0,13100239762.0,,166519548490.0
Đầu tư tài chính ngắn hạn,Tài sản > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,1.000.000.000,-,-,1.000.000.000,1000000000.0,,,1000000000.0
Các khoản phải thu ngắn hạn,Tài sản > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,1.600.214.603.964,44.886.455.898,(205.877.848.401),1.439.223.211.461,1600214603964.0,44886455898.0,-205877848401.0,1439223211461.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,135.693.410.557,6.016.336.617,-,141.709.747.174,135693410557.0,6016336617.0,,141709747174.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,27.797.988.325,-,(2.737.220.172),25.060.768.153,27797988325.0,,-2737220172.0,25060768153.0
Các khoản phải thu dài hạn,Tài sản > Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,654.409.030.229,-,-,654.409.030.229,654409030229.0,,,654409030229.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,187.054.907.270,945.785.664,(2.704.545),187.997.988.389,187054907270.0,945785664.0,-2704545.0,187997988389.0
Tài sản dở dang dài hạn,Tài sản > Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,41.332.374.818,1.114.303.562,-,42.446.678.380,41332374818.0,1114303562.0,,42446678380.0
Đầu tư tài chính dài hạn,Tài sản > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,50.520.000.000,,(50.520.000.000),-,50520000000.0,,-50520000000.0,
Tài sản dài hạn khác,Tài sản > Tài sản dài hạn khác,Tài sản dài hạn khác,21.335.579.529,1.319.855.527,547.444.034,23.202.879.090,21335579529.0,1319855527.0,547444034.0,23202879090.0
Tổng tài sản hợp nhất,Tài sản > Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,2.872.777.203.420,67.382.977.030,(258.590.329.084),2.681.569.851.366,2872777203420.0,67382977030.0,-258590329084.0,2681569851366.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,
Nợ ngắn hạn,Nợ phải trả > Nợ ngắn hạn,Nợ ngắn hạn,957.979.982.690,31.261.811.603,(209.741.245.664),779.500.548.629,957979982690.0,31261811603.0,-209741245664.0,779500548629.0
Nợ dài hạn,Nợ phải trả > Nợ dài hạn,Nợ dài hạn,3.276.866.095,-,772.679.453,4.049.545.548,3276866095.0,,772679453.0,4049545548.0
Tổng nợ phải trả hợp nhất,Nợ phải trả > Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,961.256.848.785,31.261.811.603,(208.968.566.211),783.550.094.177,961256848785.0,31261811603.0,-208968566211.0,783550094177.0
