row_label_raw,row_label_full,"Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo)","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo)_1","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo)_2","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo)_3","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo)_4","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo)_5","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo)_1","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo)_2","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo)_3","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo)_4","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo)_5"
,,,VND,USD,EUR,Tiền tệ khác,Tổng cộng,,,,,
Tại ngày 31 tháng 12 năm 2017(Triệu VND),Tại ngày 31 tháng 12 năm 2017(Triệu VND),Tại ngày 31 tháng 12 năm 2017(Triệu VND),,,,,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,885.961,469.184,34.847,6.694,1.396.686,885961.0,469184.0,34847.0,6694.0,1396686.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,1.576.212,1.394.747,-,-,2.970.959,1576212.0,1394747.0,,,2970959.0
Tiền gửi và cho vay các TCTD khác,Tài sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,29.345.684,8.363.994,106.368,62.149,37.878.195,29345684.0,8363994.0,106368.0,62149.0,37878195.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,4.418.879,(4.366.352),95.407,(13.038),134.896,4418879.0,-4366352.0,95407.0,-13038.0,134896.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,183.347.340,9.208.635,18.850,-,192.574.825,183347340.0,9208635.0,18850.0,,192574825.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,22.951.210,-,-,-,22.951.210,22951210.0,,,,22951210.0
"Gộp vốn, đầu tư dài hạn - gộp","Tài sản > Gộp vốn, đầu tư dài hạn - gộp","Gộp vốn, đầu tư dài hạn - gộp",1.278.650,1.080.802,,1.091.910,3.451.362,1278650.0,1080802.0,,1091910.0,3451362.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,3.930.975,-,-,-,3.930.975,3930975.0,,,,3930975.0
Tài sản có khác - gộp,Tài sản > Tài sản có khác - gộp,Tài sản có khác - gộp,17.172.056,8.748.154,40,111,25.920.361,17172056.0,8748154.0,40.0,111.0,25920361.0
,,,264.906.967,24.899.164,255.512,1.147.826,291.209.469,264906967.0,24899164.0,255512.0,1147826.0,291209469.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,2.758.343,-,-,-,2.758.343,2758343.0,,,,2758343.0
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,40.992.554,12.274.133,-,2.485,53.269.172,40992554.0,12274133.0,,2485.0,53269172.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,181.210.704,12.710.052,251.617,38.735,194.211.108,181210704.0,12710052.0,251617.0,38735.0,194211108.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",1.061.995,-,2.166,-,1.064.161,1061995.0,,2166.0,,1064161.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,15.967.269,-,-,-,15.967.269,15967269.0,,,,15967269.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,4.537.549,13.283,351,-,4.551.183,4537549.0,13283.0,351.0,,4551183.0
,,,246.528.414,24.997.468,254.134,41.220,271.821.236,246528414.0,24997468.0,254134.0,41220.0,271821236.0
Trạng thái tiền tệ nội bằng,Nợ phải trả > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,18.378.553,(98.304),1.378,1.106.606,19.388.233,18378553.0,-98304.0,1378.0,1106606.0,19388233.0
