row_label_raw,row_label_full,col_0,Dự phòng rủi ro các khoản phải thu khó đòi từ các khoản ủy thác đầu tưTriệu VND,Dự phòng rủi ro các tài sản có khácTriệu VND,Tổng cộngTriệu VND,numeric__Dự phòng rủi ro các khoản phải thu khó đòi từ các khoản ủy thác đầu tưTriệu VND,numeric__Dự phòng rủi ro các tài sản có khácTriệu VND,numeric__Tổng cộngTriệu VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,129.700,13.635,143.335,129700.0,13635.0,143335.0
Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,256.700,374,257.074,256700.0,374.0,257074.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,386.400,14.009,400.409,386400.0,14009.0,400409.0
