row_label_raw,row_label_full,col_0,Số dư,Số dư_1,numeric__Số dư,numeric__Số dư_1
,,,31/12/2018Triệu VND,31/12/2017Triệu VND,,
"Công ty TNHH MTV Tài chính Ngân hàng TMCP Sài Gòn - Hà Nội (""SHB FC"")","Công ty TNHH MTV Tài chính Ngân hàng TMCP Sài Gòn - Hà Nội (""SHB FC"")","Công ty TNHH MTV Tài chính Ngân hàng TMCP Sài Gòn - Hà Nội (""SHB FC"")","Công ty TNHH MTV Tài chính Ngân hàng TMCP Sài Gòn - Hà Nội (""SHB FC"")","Công ty TNHH MTV Tài chính Ngân hàng TMCP Sài Gòn - Hà Nội (""SHB FC"")",,
▪ Góp vốn,"Công ty TNHH MTV Tài chính Ngân hàng TMCP Sài Gòn - Hà Nội (""SHB FC"") > ▪ Góp vốn",▪ Góp vốn,1.000.000,1.000.000,1000000.0,1000000.0
▪ Đầu tư kỳ phiếu,"Công ty TNHH MTV Tài chính Ngân hàng TMCP Sài Gòn - Hà Nội (""SHB FC"") > ▪ Đầu tư kỳ phiếu",▪ Đầu tư kỳ phiếu,(350.000),(1.000.000),-350000.0,-1000000.0
▪ Tiền gửi không kỳ hạn và có kỳ hạn,"Công ty TNHH MTV Tài chính Ngân hàng TMCP Sài Gòn - Hà Nội (""SHB FC"") > ▪ Tiền gửi không kỳ hạn và có kỳ hạn",▪ Tiền gửi không kỳ hạn và có kỳ hạn,(13.609),-,-13609.0,
▪ Cho vay,"Công ty TNHH MTV Tài chính Ngân hàng TMCP Sài Gòn - Hà Nội (""SHB FC"") > ▪ Cho vay",▪ Cho vay,117.500,-,117500.0,
▪ Lãi dự thu cho vay,"Công ty TNHH MTV Tài chính Ngân hàng TMCP Sài Gòn - Hà Nội (""SHB FC"") > ▪ Lãi dự thu cho vay",▪ Lãi dự thu cho vay,187,-,187.0,
▪ Lãi dự trả đầu tư kỳ phiếu và tiền gửi,"Công ty TNHH MTV Tài chính Ngân hàng TMCP Sài Gòn - Hà Nội (""SHB FC"") > ▪ Lãi dự trả đầu tư kỳ phiếu và tiền gửi",▪ Lãi dự trả đầu tư kỳ phiếu và tiền gửi,(18.257),(249),-18257.0,-249.0
Cổ đông lớn,Cổ đông lớn,Cổ đông lớn,Cổ đông lớn,Cổ đông lớn,,
Công ty cổ phần Tập đoàn T&T,Công ty cổ phần Tập đoàn T&T,Công ty cổ phần Tập đoàn T&T,Công ty cổ phần Tập đoàn T&T,Công ty cổ phần Tập đoàn T&T,,
▪ Góp vốn,Công ty cổ phần Tập đoàn T&T > ▪ Góp vốn,▪ Góp vốn,(1.199.768),(1.191.991),-1199768.0,-1191991.0
▪ Tiền gửi không kỳ hạn,Công ty cổ phần Tập đoàn T&T > ▪ Tiền gửi không kỳ hạn,▪ Tiền gửi không kỳ hạn,(112.476),(979.364),-112476.0,-979364.0
▪ Cho vay,Công ty cổ phần Tập đoàn T&T > ▪ Cho vay,▪ Cho vay,(779),(19.432),-779.0,-19432.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,,
Tổng Công ty cổ phần bảo hiểm Sài Gòn - Hà Nội,Tổng Công ty cổ phần bảo hiểm Sài Gòn - Hà Nội,Tổng Công ty cổ phần bảo hiểm Sài Gòn - Hà Nội,Tổng Công ty cổ phần bảo hiểm Sài Gòn - Hà Nội,Tổng Công ty cổ phần bảo hiểm Sài Gòn - Hà Nội,,
▪ Góp vốn,Tổng Công ty cổ phần bảo hiểm Sài Gòn - Hà Nội > ▪ Góp vốn,▪ Góp vốn,42.857,42.857,42857.0,42857.0
▪ Tiền gửi không kỳ hạn,Tổng Công ty cổ phần bảo hiểm Sài Gòn - Hà Nội > ▪ Tiền gửi không kỳ hạn,▪ Tiền gửi không kỳ hạn,(184.931),(151.100),-184931.0,-151100.0
▪ Lãi dự trả tiền gửi,Tổng Công ty cổ phần bảo hiểm Sài Gòn - Hà Nội > ▪ Lãi dự trả tiền gửi,▪ Lãi dự trả tiền gửi,(4.339),(6.892),-4339.0,-6892.0
