row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2018(Triệu VND),VND,USD,EUR,Tiền tệ khác,Tổng cộng,numeric__VND,numeric__USD,numeric__EUR,numeric__Tiền tệ khác,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,950.193,817.228,53.451,5.884,1.826.756,950193.0,817228.0,53451.0,5884.0,1826756.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,2.750.669,436.393,-,-,3.187.062,2750669.0,436393.0,,,3187062.0
Tiền gửi và cho vay các TCTD khác,Tài sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,27.559.577,6.272.341,204.369,91.190,34.127.477,27559577.0,6272341.0,204369.0,91190.0,34127477.0
Công cụ phải sinh- gộp,Tài sản > Công cụ phải sinh- gộp,Công cụ phải sinh- gộp,2.354.997,(2.281.159),-,(15.610),58.228,2354997.0,-2281159.0,,-15610.0,58228.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,201.932.717,6.424.237,143.127,-,208.500.081,201932717.0,6424237.0,143127.0,,208500081.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,49.954.145,-,-,-,49.954.145,49954145.0,,,,49954145.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",1.221.750,2.848.261,-,-,4.070.011,1221750.0,2848261.0,,,4070011.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,4.749.668,-,-,-,4.749.668,4749668.0,,,,4749668.0
Tài sản cố khác - gộp,Tài sản > Tài sản cố khác - gộp,Tài sản cố khác - gộp,18.800.049,1.688.965,54.582,24.499,20.568.095,18800049.0,1688965.0,54582.0,24499.0,20568095.0
,,,310.273.765,16.206.266,455.529,105.963,327.041.523,310273765.0,16206266.0,455529.0,105963.0,327041523.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,
"Các khoản nợ Chính phủ, Ngân hàng Nhà nước","Nợ phải trả > Các khoản nợ Chính phủ, Ngân hàng Nhà nước","Các khoản nợ Chính phủ, Ngân hàng Nhà nước",12.096.858,-,-,-,12.096.858,12096858.0,,,,12096858.0
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,36.242.521,8.211.308,-,-,44.453.829,36242521.0,8211308.0,,,44453829.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,214.037.520,9.769.415,247.213,83.439,224.137.587,214037520.0,9769415.0,247213.0,83439.0,224137587.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",1.330.584,-,143.127,-,1.473.711,1330584.0,,143127.0,,1473711.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,17.071.736,-,-,-,17.071.736,17071736.0,,,,17071736.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,5.311.498,983.921,-,-,6.295.419,5311498.0,983921.0,,,6295419.0
,,,286.090.717,18.964.644,390.340,83.439,305.529.140,286090717.0,18964644.0,390340.0,83439.0,305529140.0
Trạng thái tiền tệ nội bằng,Nợ phải trả > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,24.183.048,(2.758.378),65.189,22.524,21.512.383,24183048.0,-2758378.0,65189.0,22524.0,21512383.0
