row_label_raw,row_label_full,col_0,col_1,Thuyết minh,2018Triệu VND,2017Triệu VND(Phân loại lại),numeric__col_1,numeric__Thuyết minh,numeric__2018Triệu VND,numeric__2017Triệu VND(Phân loại lại)
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,,22.151.657(16.991.458),17.827.120(13.352.818),,,,
2,2,2,Chi phí lãi và các chi phí tương tự,,22.151.657(16.991.458),17.827.120(13.352.818),,,,
I,2 > I,I,Thu nhập lãi thuần,26,5.160.199,4.474.302,,26.0,5160199.0,4474302.0
3,3,3,Thu nhập từ hoạt động dịch vụ,,664.569(103.162),1.439.522(61.874),,,,
4,4,4,Chi phí hoạt động dịch vụ,,664.569(103.162),1.439.522(61.874),,,,
II,4 > II,II,Lãi thuần từ hoạt động dịch vụ,27,561.407,1.377.648,,27.0,561407.0,1377648.0
III,4 > III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,28,61.784,43.619,,28.0,61784.0,43619.0
IV,4 > IV,IV,Lãi thuần từ mua bán chứng khoán kinh doanh,,-,11.506,,,,11506.0
V,4 > V,V,Lãi thuần từ mua bán chứng khoán đầu tư,29,277.881,1.050,,29.0,277881.0,1050.0
5,5,5,Thu nhập từ hoạt động khác,,177.482(44.462),290.498(147.246),,,,
6,6,6,Chi phí hoạt động khác,,177.482(44.462),290.498(147.246),,,,
VI,6 > VI,VI,Lãi thuần từ hoạt động khác,30,133.020,143.252,,30.0,133020.0,143252.0
VII,6 > VII,VII,"Thu nhập từ góp vốn, mua cổ phần",,141.168,51.950,,,141168.0,51950.0
VIII,6 > VIII,VIII,Chi phí hoạt động,31,(2.992.711),(2.484.168),,31.0,-2992711.0,-2484168.0
IX,6 > IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,3.342.748,3.619.159,,,3342748.0,3619159.0
X,6 > X,X,Chi phí dự phòng rủi ro tín dụng,,(1.348.499),(1.849.870),,,-1348499.0,-1849870.0
XI,6 > XI,XI,Tổng lợi nhuận trước thuế (mang sang trang sau),,1.994.249,1.769.289,,,1994249.0,1769289.0
