row_label_raw,row_label_full,"Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Tại 31 tháng 12 năm 2018(Triệu VND)","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Quá hạn","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Khônghướng lãi","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Dưới1 tháng","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Từ 1 đến3 tháng","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Từ 3 đến6 tháng","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Từ 6 đến12 tháng","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Từ 1 đến5 năm","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Trên 5 năm","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Tổng cộng","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Quá hạn","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Khônghướng lãi","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Dưới1 tháng","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Từ 1 đến3 tháng","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Từ 3 đến6 tháng","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Từ 6 đến12 tháng","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Từ 1 đến5 năm","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Trên 5 năm","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Tổng cộng"
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,1.826.756,-,-,-,-,-,-,1.826.756,,1826756.0,,,,,,,1826756.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,-,-,3.187.062,-,-,-,-,-,3.187.062,,,3187062.0,,,,,,3187062.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,-,-,32.062.177,2.065.300,-,-,-,-,34.127.477,,,32062177.0,2065300.0,,,,,34127477.0
Các công cụ tài chính phải sinh và các TS tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các TS tài chính khác,Các công cụ tài chính phải sinh và các TS tài chính khác,-,58.228,-,-,-,-,-,-,58.228,,58228.0,,,,,,,58228.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,8.899.478,-,67.850.178,109.166.789,10.857.899,7.376.908,3.247.500,1.101.329,208.500.081,8899478.0,,67850178.0,109166789.0,10857899.0,7376908.0,3247500.0,1101329.0,208500081.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,150.000,9.294.442,3.337.088,6.749.144,4.007.774,9.025.471,7.545.840,9.844.386,49.954.145,150000.0,9294442.0,3337088.0,6749144.0,4007774.0,9025471.0,7545840.0,9844386.0,49954145.0
"Góp vốn, đầu tư dài hạn","Tài sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",-,4.070.011,-,-,-,-,-,-,4.070.011,,4070011.0,,,,,,,4070011.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,4.749.668,-,-,-,-,-,-,4.749.668,,4749668.0,,,,,,,4749668.0
Tài sản cố khác - gộp,Tài sản > Tài sản cố khác - gộp,Tài sản cố khác - gộp,1.840.891,12.637.232,144.830,2.250.608,3.263.881,424.619,6.034,-,20.568.095,1840891.0,12637232.0,144830.0,2250608.0,3263881.0,424619.0,6034.0,,20568095.0
,,,10.890.369,32.636.337,106.581.335,120.231.841,18.129.554,16.826.998,10.799.374,10.945.715,327.041.523,10890369.0,32636337.0,106581335.0,120231841.0,18129554.0,16826998.0,10799374.0,10945715.0,327041523.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
"Các khoản nợ Chính phủ, Ngân hàng Nhà nước","Nợ phải trả > Các khoản nợ Chính phủ, Ngân hàng Nhà nước","Các khoản nợ Chính phủ, Ngân hàng Nhà nước",-,-,10.096.858,2.000.000,-,-,-,-,12.096.858,,,10096858.0,2000000.0,,,,,12096858.0
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,-,-,32.366.073,8.387.122,3.263.881,425.149,8.154,3.450,44.453.829,,,32366073.0,8387122.0,3263881.0,425149.0,8154.0,3450.0,44453829.0
"Tiền gửi của khách hàng Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Nợ phải trả > Tiền gửi của khách hàng Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Tiền gửi của khách hàng Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,-,65.487.951,47.517.211,52.339.439,43.387.702,15.401.885,3.399,224.137.587,,,65487951.0,47517211.0,52339439.0,43387702.0,15401885.0,3399.0,224137587.0
"Tiền gửi của khách hàng Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Nợ phải trả > Tiền gửi của khách hàng Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Tiền gửi của khách hàng Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,-,-,1.330.584,-,-,143.127,-,1.473.711,,,,1330584.0,,,143127.0,,1473711.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,350.000,600.000,5.547.099,1.500.000,3.050.009,6.024.628,17.071.736,,,350000.0,600000.0,5547099.0,1500000.0,3050009.0,6024628.0,17071736.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,6.295.419,-,-,-,-,-,-,6.295.419,,6295419.0,,,,,,,6295419.0
,,,-,6.295.419,108.300.882,59.834.917,61.150.419,45.312.851,18.603.175,6.031.477,305.529.140,,6295419.0,108300882.0,59834917.0,61150419.0,45312851.0,18603175.0,6031477.0,305529140.0
Mức chênh nhạy cảm với lãi suất,Nợ phải trả > Mức chênh nhạy cảm với lãi suất,Mức chênh nhạy cảm với lãi suất,10.890.369,26.340.918,(1.719.547),60.396.924,(43.020.865),(28.485.853),(7.803.801),4.914.238,21.512.383,10890369.0,26340918.0,-1719547.0,60396924.0,-43020865.0,-28485853.0,-7803801.0,4914238.0,21512383.0
