row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ khác,Chênh lệch tỷ giá hối doái,Lợi nhuận chưa phân phối,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Quỹ khác,numeric__Chênh lệch tỷ giá hối doái,numeric__Lợi nhuận chưa phân phối,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,
Số dư tại ngày 1/1/2017,Số dư tại ngày 1/1/2017,Số dư tại ngày 1/1/2017,11.196.891,101.716,(5.260),20.013,668.162,305.658,1.022,-,834.801,13.123.003,11196891.0,101716.0,-5260.0,20013.0,668162.0,305658.0,1022.0,,834801.0,13123003.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,-,1.425.874,1.425.874,,,,,,,,,1425874.0,1425874.0
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,-,-,-,-,(20.000),(20.000),,,,,,,,,-20000.0,-20000.0
Điều chính khác,Điều chính khác,Điều chính khác,-,-,-,-,-,-,-,-,(3.237),(3.237),,,,,,,,,-3237.0,-3237.0
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,-,-,-,135.459,71.294,-,-,(206.753),-,,,,,135459.0,71294.0,,,-206753.0,
Số dư tại ngày 31/12/2017,Số dư tại ngày 31/12/2017,Số dư tại ngày 31/12/2017,11.196.891,101.716,(5.260),20.013,803.621,376.952,1.022,-,2.030.685,14.525.640,11196891.0,101716.0,-5260.0,20013.0,803621.0,376952.0,1022.0,,2030685.0,14525640.0
Phát hành cổ phiếu để chi trả cổ tức,Phát hành cổ phiếu để chi trả cổ tức,Phát hành cổ phiếu để chi trả cổ tức,839.270,-,-,-,-,-,-,-,(839.270),-,839270.0,,,,,,,,-839270.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,-,1.623.633,1.623.633,,,,,,,,,1623633.0,1623633.0
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,-,-,-,154.245,81.182,-,-,(235.427),-,,,,,154245.0,81182.0,,,-235427.0,
Số dư tại ngày 31/12/2018,Số dư tại ngày 31/12/2018,Số dư tại ngày 31/12/2018,12.036.161,101.716,(5.260),20.013,957.866,458.134,1.022,-,2.579.621,16.149.273,12036161.0,101716.0,-5260.0,20013.0,957866.0,458134.0,1022.0,,2579621.0,16149273.0
