row_label_raw,row_label_full,col_0,31/12/2017Triệu VND(Như báo cáotrước đây),31/12/2017Triệu VND(Sau khi phânloại lại),numeric__31/12/2017Triệu VND(Như báo cáotrước đây),numeric__31/12/2017Triệu VND(Sau khi phânloại lại)
(Lỗ)/lãi thuần từ mua bán chứng khoán đầu tư,(Lỗ)/lãi thuần từ mua bán chứng khoán đầu tư,(Lỗ)/lãi thuần từ mua bán chứng khoán đầu tư,(12.372),1.050,-12372.0,1050.0
Chi phí hoạt động,Chi phí hoạt động,Chi phí hoạt động,(2.741.242),(2.484.168),-2741242.0,-2484168.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(1.579.374),(1.849.870),-1579374.0,-1849870.0
