row_label_raw,row_label_full,Tiền gửi của Kho bạc Nhà nước Việt Nam > Tiền gửi của Kho bạc Nhà nước Việt Nam bằng VND (i),31/12/2018Triệu VND > 2.000.000,31/12/2017Triệu VND > -,numeric__31/12/2018Triệu VND > 2.000.000,numeric__31/12/2017Triệu VND > -
Vay NHNN,Vay NHNN,Vay NHNN,Vay NHNN,Vay NHNN,,
Vay theo hồ sơ tín dụng (ii),Vay NHNN > Vay theo hồ sơ tín dụng (ii),Vay theo hồ sơ tín dụng (ii),835.544,2.758.343,835544.0,2758343.0
"Vay chiết khấu, tái chiết khấu các giấy tờ có giá (iii)","Vay NHNN > Vay chiết khấu, tái chiết khấu các giấy tờ có giá (iii)","Vay chiết khấu, tái chiết khấu các giấy tờ có giá (iii)",9.261.314,-,9261314.0,
,,,12.096.858,2.758.343,12096858.0,2758343.0
