row_label_raw,row_label_full,(Triệu VND),Chưa quá hạn và chưa bị giảm giá,Đã quá hạn nhưng chưa bị giảm giá,Đã quá hạn nhưng chưa bị giảm giá_1,Đã quá hạn nhưng chưa bị giảm giá_2,Đã quá hạn nhưng chưa bị giảm giá_3,Đã bị giảm giá,Tổng cộng,numeric__Chưa quá hạn và chưa bị giảm giá,numeric__Đã quá hạn nhưng chưa bị giảm giá,numeric__Đã quá hạn nhưng chưa bị giảm giá_1,numeric__Đã quá hạn nhưng chưa bị giảm giá_2,numeric__Đã quá hạn nhưng chưa bị giảm giá_3,numeric__Đã bị giảm giá,numeric__Tổng cộng
(Triệu VND),(Triệu VND),(Triệu VND),Chưa quá hạn và chưa bị giảm giá,Quá hạn từ 10 đến 90 ngày,Quá hạn từ 91 đến 180 ngày,Quá hạn từ 181 đến 360 ngày,Quá hạn trên 360 ngày,Đã bị giảm giá,Tổng cộng,,,,,,,
Tiền gửi tại Ngân hàng Nhà nước,(Triệu VND) > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,3.187.062,-,-,-,-,-,3.187.062,3187062.0,,,,,,3187062.0
Tiền gửi và cho vay các tổ chức tín dụng khác,(Triệu VND) > Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,34.127.477,-,-,-,-,-,34.127.477,34127477.0,,,,,,34127477.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác - thuần,(Triệu VND) > Các công cụ tài chính phải sinh và các tài sản tài chính khác - thuần,Các công cụ tài chính phải sinh và các tài sản tài chính khác - thuần,58.228,-,-,-,-,-,58.228,58228.0,,,,,,58228.0
Cho vay khách hàng - thuần,(Triệu VND) > Cho vay khách hàng - thuần,Cho vay khách hàng - thuần,197.895.023,3.015.238,37.509,444.088,1.362.465,2.959.500,205.713.823,197895023.0,3015238.0,37509.0,444088.0,1362465.0,2959500.0,205713823.0
Chứng khoán đầu tư - thuần,(Triệu VND) > Chứng khoán đầu tư - thuần,Chứng khoán đầu tư - thuần,47.951.362,-,-,-,-,75.000,48.026.362,47951362.0,,,,,75000.0,48026362.0
Tài sản tài chính khác - thuần,(Triệu VND) > Tài sản tài chính khác - thuần,Tài sản tài chính khác - thuần,17.968.725,-,-,-,-,1.955.721,19.924.446,17968725.0,,,,,1955721.0,19924446.0
,,,301.187.877,3.015.238,37.509,444.088,1.362.465,4.990.221,311.037.398,301187877.0,3015238.0,37509.0,444088.0,1362465.0,4990221.0,311037398.0
Tại ngày 31 tháng 12 năm 2017 (Triệu VND),Tại ngày 31 tháng 12 năm 2017 (Triệu VND),Tại ngày 31 tháng 12 năm 2017 (Triệu VND),Chưa quá hạn và chưa bị giảm giá,Đã quá hạn nhưng chưa bị giảm giá,Đã quá hạn nhưng chưa bị giảm giá,Đã quá hạn nhưng chưa bị giảm giá,Đã quá hạn nhưng chưa bị giảm giá,Đã bị giảm giá,Tổng cộng,,,,,,,
Tại ngày 31 tháng 12 năm 2017 (Triệu VND),Tại ngày 31 tháng 12 năm 2017 (Triệu VND),Tại ngày 31 tháng 12 năm 2017 (Triệu VND),Chưa quá hạn và chưa bị giảm giá,Quá hạn từ 10 đến 90 ngày,Quá hạn từ 91 đến 180 ngày,Quá hạn từ 181 đến 360 ngày,Quá hạn trên 360 ngày,Đã bị giảm giá,Tổng cộng,,,,,,,
Tiền gửi tại Ngân hàng Nhà nước,Tại ngày 31 tháng 12 năm 2017 (Triệu VND) > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,2.970.959,-,-,-,-,-,2.970.959,2970959.0,,,,,,2970959.0
Tiền gửi và cho vay các tổ chức tín dụng khác,Tại ngày 31 tháng 12 năm 2017 (Triệu VND) > Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,37.878.195,-,-,-,-,-,37.878.195,37878195.0,,,,,,37878195.0
Các công cụ tài chính phải sinh,Tại ngày 31 tháng 12 năm 2017 (Triệu VND) > Các công cụ tài chính phải sinh,Các công cụ tài chính phải sinh,134.896,-,-,-,-,-,134.896,134896.0,,,,,,134896.0
Cho vay khách hàng - thuần,Tại ngày 31 tháng 12 năm 2017 (Triệu VND) > Cho vay khách hàng - thuần,Cho vay khách hàng - thuần,182.175.885,2.891.516,496.370,142.811,551.608,3.609.482,189.867.672,182175885.0,2891516.0,496370.0,142811.0,551608.0,3609482.0,189867672.0
Chứng khoán đầu tư - thuần,Tại ngày 31 tháng 12 năm 2017 (Triệu VND) > Chứng khoán đầu tư - thuần,Chứng khoán đầu tư - thuần,21.026.822,-,-,-,-,147.544,21.174.366,21026822.0,,,,,147544.0,21174366.0
Tài sản tài chính khác - thuần,Tại ngày 31 tháng 12 năm 2017 (Triệu VND) > Tài sản tài chính khác - thuần,Tài sản tài chính khác - thuần,21.489.492,-,-,-,-,-,21.489.492,21489492.0,,,,,,21489492.0
,,,265.676.249,2.891.516,496.370,142.811,551.608,3.757.026,273.515.580,265676249.0,2891516.0,496370.0,142811.0,551608.0,3757026.0,273515580.0
