row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
III.,III.,III.,LU'U CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
1.,III. > 1.,1.,"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu và bán cổ phiếu quỹ",31,3.682.605.485.967,143.587.600.000,,31.0,3682605485967.0,143587600000.0
2.,III. > 2.,2.,"Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,-,(299.967.829.249),,32.0,,-299967829249.0
3.,III. > 3.,3.,Tiền thu từ đi vay,33,4.670.126.471.916,4.091.683.285.130,,33.0,4670126471916.0,4091683285130.0
4.,III. > 4.,4.,Tiền trả nợ gốc vay,34,(2.940.662.537.028),(1.771.100.158.679),,34.0,-2940662537028.0,-1771100158679.0
5.,III. > 5.,5.,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(64.555.000),(6.430.000),,36.0,-64555000.0,-6430000.0
,,,Lưu chuyển tiền thuần từ hoạt động tài chính,40,5.412.004.865.855,2.164.196.467.202,,40.0,5412004865855.0,2164196467202.0
,,,Lưu chuyển tiền thuần trong năm (50=20+30+40),50,119.129.612.874,211.571.253.364,,50.0,119129612874.0,211571253364.0
,,,Tiền và các khoản tương đương tiền đầu năm,60,240.494.002.853,28.953.302.734,,60.0,240494002853.0,28953302734.0
,,,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,1.112.286,(30.553.245),,61.0,1112286.0,-30553245.0
,,,Tiền và các khoản tương đương tiền cuối năm (70=50+60+61),70,359.624.728.013,240.494.002.853,,70.0,359624728013.0,240494002853.0
