row_label_raw,row_label_full,Vay ngắn hạn,Số đầu năm > Giá trị,Số đầu năm > VND Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > VND Giảm,Số cuối năm > Giá trị,Số cuối năm > VND Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > VND Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > VND Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > VND Số có khả năng trả nợ
Vay ngân hàng (1),Vay ngân hàng (1),Vay ngân hàng (1),304.835.254.808,304.835.254.808,1.837.890.640.242,987.943.195.760,1.154.782.699.290,1.154.782.699.290,304835254808.0,304835254808.0,1837890640242.0,987943195760.0,1154782699290.0,1154782699290.0
Vay tổ chức,Vay tổ chức,Vay tổ chức,391.783.509.594,391.783.509.594,1.579.235.831.674,1.971.019.341.268,-,-,391783509594.0,391783509594.0,1579235831674.0,1971019341268.0,,
Vay ngắn hạn là các bên liên quan(Chi tiết trình bày tại Thuyết minh số 33),Vay ngắn hạn là các bên liên quan(Chi tiết trình bày tại Thuyết minh số 33),Vay ngắn hạn là các bên liên quan(Chi tiết trình bày tại Thuyết minh số 33),-,-,1.085.000.000.000,805.000.000.000,280.000.000.000,280.000.000.000,,,1085000000000.0,805000000000.0,280000000000.0,280000000000.0
,,,696.618.764.402,696.618.764.402,4.502.126.471.916,3.763.962.537.028,1.434.782.699.290,1.434.782.699.290,696618764402.0,696618764402.0,4502126471916.0,3763962537028.0,1434782699290.0,1434782699290.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,,,,,,
Trái phiếu (2),Vay dài hạn đến hạn trả > Trái phiếu (2),Trái phiếu (2),-,-,299.906.250.000,-,299.906.250.000,299.906.250.000,,,299906250000.0,,299906250000.0,299906250000.0
,,,-,-,299.906.250.000,-,299.906.250.000,299.906.250.000,,,299906250000.0,,299906250000.0,299906250000.0
Cộng vay ngắn hạn,Vay dài hạn đến hạn trả > Cộng vay ngắn hạn,Cộng vay ngắn hạn,696.618.764.402,696.618.764.402,4.802.032.721.916,3.763.962.537.028,1.734.688.949.290,1.734.688.949.290,696618764402.0,696618764402.0,4802032721916.0,3763962537028.0,1734688949290.0,1734688949290.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay ngân hàng (1),Vay dài hạn > Vay ngân hàng (1),Vay ngân hàng (1),-,-,200.000.000.000,-,200.000.000.000,200.000.000.000,,,200000000000.0,,200000000000.0,200000000000.0
Trái phiếu (2),Vay dài hạn > Trái phiếu (2),Trái phiếu (2),3.708.738.517.089,3.708.738.517.089,825.297.922.947,308.606.250.000,4.225.430.190.036,4.225.430.190.036,3708738517089.0,3708738517089.0,825297922947.0,308606250000.0,4225430190036.0,4225430190036.0
,,,3.708.738.517.089,3.708.738.517.089,1.025.297.922.947,308.606.250.000,4.425.430.190.036,4.425.430.190.036,3708738517089.0,3708738517089.0,1025297922947.0,308606250000.0,4425430190036.0,4425430190036.0
