row_label_raw,row_label_full,STT Đơn vị bảo lãnh/tư vấn phát hành,STT Đơn vị bảo lãnh/tư vấn phát hành_1,Số tiền (VND),numeric__STT Đơn vị bảo lãnh/tư vấn phát hành_1,numeric__Số tiền (VND)
1.,1.,1.,Quỹ Đầu tư và Đảm bảo tín dụng (Credit Guarantee and Investment Facility - CGIF),1.150.000.000.000,,1150000000000.0
2.,2.,2.,Công ty Cổ phần Chứng khoán VIX,1.800.000.000.000,,1800000000000.0
3.,3.,3.,Công ty TNHH Chứng khoán Shinhan Việt Nam,700.000.000.000,,700000000000.0
4.,4.,4.,Công ty Cổ phần chứng khoán VNDIRECT,500.000.000.000,,500000000000.0
5.,5.,5.,Công ty Cổ phần chứng khoán SSI,400.000.000.000,,400000000000.0
6.,6.,6.,Chi phí phát hành trái phiếu,(24.663.559.964),,-24663559964.0
,,,Tổng cộng,4.525.336.440.036,,4525336440036.0
,,,Trong đó:,,,
,,,Trái phiếu dài hạn đến hạn trả,299.906.250.000,,299906250000.0
,,,Trái phiếu dài hạn,4.225.430.190.036,,4225430190036.0
