row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,4.882.440.000.000,66.457.000.000,-,170.192.920.116,5.119.089.920.116,4882440000000.0,66457000000.0,,170192920116.0,5119089920116.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,548.270.259.254,548.270.259.254,,,,548270259254.0,548270259254.0
Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,-,(299.967.829.249),-,(299.967.829.249),,,-299967829249.0,,-299967829249.0
"Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi",-,-,-,(3.000.000.000),(3.000.000.000),,,,-3000000000.0,-3000000000.0
Bán cổ phiếu quỹ,Bán cổ phiếu quỹ,Bán cổ phiếu quỹ,-,(53.382.238.549),196.969.838.549,-,143.587.600.000,,-53382238549.0,196969838549.0,,143587600000.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,4.882.440.000.000,13.074.761.451,(102.997.990.700),715.463.179.370,5.507.979.950.121,4882440000000.0,13074761451.0,-102997990700.0,715463179370.0,5507979950121.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,4.882.440.000.000,13.074.761.451,(102.997.990.700),715.463.179.370,5.507.979.950.121,4882440000000.0,13074761451.0,-102997990700.0,715463179370.0,5507979950121.0
Tăng vốn trong năm (i),Tăng vốn trong năm (i),Tăng vốn trong năm (i),2.929.464.000.000,606.895.840.000,-,-,3.536.359.840.000,2929464000000.0,606895840000.0,,,3536359840000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,117.515.035.400,117.515.035.400,,,,117515035400.0,117515035400.0
Bán cổ phiếu quỹ (ii),Bán cổ phiếu quỹ (ii),Bán cổ phiếu quỹ (ii),-,43.371.655.267,102.997.990.700,-,146.369.645.967,,43371655267.0,102997990700.0,,146369645967.0
"Trích lập Quỹ khen thưởng, phúc lợi (iii)","Trích lập Quỹ khen thưởng, phúc lợi (iii)","Trích lập Quỹ khen thưởng, phúc lợi (iii)",-,-,-,(4.872.760.000),(4.872.760.000),,,,-4872760000.0,-4872760000.0
Trả cổ tức bằng cổ phiếu (iv),Trả cổ tức bằng cổ phiếu (iv),Trả cổ tức bằng cổ phiếu (iv),703.053.930.000,(124.000.000),-,(703.053.930.000),(124.000.000),703053930000.0,-124000000.0,,-703053930000.0,-124000000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,8.514.957.930.000,663.218.256.718,-,125.051.524.770,9.303.227.711.488,8514957930000.0,663218256718.0,,125051524770.0,9303227711488.0
