row_label_raw,row_label_full,STT > 1.,Ngân hàng > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Sở Giao dịch I,Số tiền (VND) > 453.440.885.664,numeric__Ngân hàng > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Sở Giao dịch I,numeric__Số tiền (VND) > 453.440.885.664
2.,2.,2.,Ngân hàng TMCP Công thương VN - CN Hà Nội,448.122.863.149,,448122863149.0
3.,3.,3.,Ngân hàng TMCP Kỹ Thương Việt Nam,108.880.000.000,,108880000000.0
4.,4.,4.,Ngân hàng TMCP Quân đội - CN Hoàn Kiểm,82.872.057.560,,82872057560.0
5.,5.,5.,Ngân hàng TNHH MTV HSBC (Việt Nam),61.466.892.917,,61466892917.0
,,,,1.154.782.699.290,,1154782699290.0
