row_label_raw,row_label_full,STT,Tên công ty con,Trụ sở chính,Tỷ lệ phần sở hữu (%),Tỷ lệ quyền biểu quyết (%),Hoạt động chính,numeric__Tên công ty con,numeric__Trụ sở chính,numeric__Tỷ lệ phần sở hữu (%),numeric__Tỷ lệ quyền biểu quyết (%),numeric__Hoạt động chính
1.,1.,1.,Công ty Cổ phần Kính Viglacera Đáp Cầu,Bắc Ninh,"86,41%","86,41%",Sản xuất và kinh doanh kính,,,0.8641,0.8641,
2.,2.,2.,Công ty Cổ phần Viglacera Vân Hải,Quảng Ninh,"95,02%","95,02%","Khai thác và kinh doanh cát, du lịch, dịch vụ",,,0.9501999999999999,0.9501999999999999,
3.,3.,3.,Công ty Cổ phần Khoáng sản Viglacera,Yên Bái,51%,51%,Khai thác và kinh doanh khoáng sản,,,0.51,0.51,
4.,4.,4.,Công ty Cổ phần Việt Trì Viglacera,Phú Thọ,"92,82%","92,82%",Sản xuất và kinh doanh sử vệ sinh,,,0.9281999999999999,0.9281999999999999,
5.,5.,5.,Công ty Cổ phần Sử Viglacera Thanh Trì,Hà Nội,"59,96%","59,96%",Sản xuất và kinh doanh sử vệ sinh,,,0.5996,0.5996,
6.,6.,6.,Công ty Cổ phần Thương mại Viglacera,Hà Nội,"76,23%","85,95%",Kinh doanh vật liệu xây dựng,,,0.7623000000000001,0.8595,
7.,7.,7.,Công ty Cổ phần Viglacera Thăng Long,Vĩnh Phúc,"51,07%","51,07%",Sản xuất và kinh doanh gạch ốp lát,,,0.5107,0.5107,
8.,8.,8.,Công ty Cổ phần Viglacera Tiền Sơn,Bắc Ninh,51%,51%,Sản xuất và kinh doanh gạch ốp lát,,,0.51,0.51,
9.,9.,9.,Công ty Cổ phần Viglacera Hà Nội,Hà Nội,51%,51%,Sản xuất và kinh doanh gạch ốp lát,,,0.51,0.51,
10.,10.,10.,Công ty Cổ phần Bê tông khí Viglacera,Bắc Ninh,"96,19%","97,69%","Sản xuất gạch, panel, bê tông khí chung áp",,,0.9619,0.9769,
11.,11.,11.,Công ty Cổ phần Bao bì và Má phanh Viglacera,Hà Nội,51%,51%,"Sản xuất và kinh doanh bao bì, má phanh",,,0.51,0.51,
12.,12.,12.,Công ty Cổ phần Viglacera Hạ Long,Quảng Ninh,"50,48%","50,48%",Sản xuất và kinh doanh gạch ngói đất sét nung,,,0.5047999999999999,0.5047999999999999,
13.,13.,13.,Công ty Cổ phần Từ Liêm,Hà Nội,"55,92%","55,92%",Sản xuất và kinh doanh gạch ngói đất sét nung,,,0.5592,0.5592,
14.,14.,14.,Công ty Cổ phần 382 Đông Anh,Hà Nội,51%,51%,Sản xuất và kinh doanh gạch ngói đất sét nung,,,0.51,0.51,
15.,15.,15.,Công ty Cổ phần Gốm xây dựng Hữu Hưng,Hà Nội,51%,51%,Sản xuất và kinh doanh gạch ngói đất sét nung,,,0.51,0.51,
16.,16.,16.,Công ty Cổ phần Tư vấn Viglacera,Hà Nội,"76,89%","76,89%","Lập dự án, thiết kế các công trình",,,0.7689,0.7689,
17.,17.,17.,Công ty TNHH CHAO - Viglacera,Hà Nội,100%,100%,"Dịch vụ, du lịch, nhà hàng",,,1.0,1.0,
18.,18.,18.,Công ty Cổ phần Phát triển Khu Công nghiệp Viglacera Yên Mỹ - Hưng Yên,Hưng Yên,60%,60%,Đầu tư xây dựng và kinh doanh hạ tầng khu công nghiệp,,,0.6,0.6,
19.,19.,19.,Công ty ViMariel - CTCP,Cuba,100%,"99,90%",Kinh doanh hạ tầng khu công nghiệp,,,1.0,0.9990000000000001,
20.,20.,20.,Công ty TNHH Kính nổi siêu trắng Phú Mỹ,Bà Rịa - Vũng Tàu,65%,65%,Sản xuất và kinh doanh kính,,,0.65,0.65,
