row_label_raw,row_label_full,Đối tượng > Công ty TNHH MTV Năng lượng GELEX Ninh Thuận > Công ty Cổ phần Thiết bị điện GELEX > Công ty Cổ phần Hạ tầng GELEX,Số tiền > 608.125.000.000 > 800.000.000.000 > 300.000.000.000,Hợp đồng cho vay > Hợp đồng số31.12/2019/GELEX-GELEXNINHTHUAN/HĐCV ngày 31 tháng 12 năm 2019 > Hợp đồng số04/2021/HĐVV/GELEX-ELECTRIC ngày 21 tháng 07 năm 2021 > Hợp đồng số04/2021/HĐVV/GELEX-ENERGY ngày 01 tháng 10 năm 2021,"Thời hạn vay/Lãi suất > Thời hạn trả gốcvay cuối cùngngày 31 tháng 12năm 2029 với lãi suất 9,5%/năm > Thời hạn vay 24tháng kể từ ngày22 tháng 07 năm2021 với lãi suất10%/năm > Thời hạn vay 36tháng kể từ ngày01 tháng 10 năm2021 với lãi suất10%/năm",Hình thức đầm bảo > Vay tín chấp,numeric__Số tiền > 608.125.000.000 > 800.000.000.000 > 300.000.000.000,numeric__Hợp đồng cho vay > Hợp đồng số31.12/2019/GELEX-GELEXNINHTHUAN/HĐCV ngày 31 tháng 12 năm 2019 > Hợp đồng số04/2021/HĐVV/GELEX-ELECTRIC ngày 21 tháng 07 năm 2021 > Hợp đồng số04/2021/HĐVV/GELEX-ENERGY ngày 01 tháng 10 năm 2021,"numeric__Thời hạn vay/Lãi suất > Thời hạn trả gốcvay cuối cùngngày 31 tháng 12năm 2029 với lãi suất 9,5%/năm > Thời hạn vay 24tháng kể từ ngày22 tháng 07 năm2021 với lãi suất10%/năm > Thời hạn vay 36tháng kể từ ngày01 tháng 10 năm2021 với lãi suất10%/năm",numeric__Hình thức đầm bảo > Vay tín chấp
Tổng cộng,Tổng cộng,Tổng cộng,1.708.125.000.000,,,,1708125000000.0,,,
Trong đó:Cho vay dài hạn đếnhạn thu,Trong đó:Cho vay dài hạn đếnhạn thu,Trong đó:Cho vay dài hạn đếnhạn thu,73.750.000.000,,,,73750000000.0,,,
Cho vay dài hạn,Cho vay dài hạn,Cho vay dài hạn,1.634.375.000.000,,,,1634375000000.0,,,
