row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,NỘ PHẢI TRẢ,300,,9.137.813.745.413,6.395.732.556.611,,300.0,,9137813745413.0,6395732556611.0
I.,I.,I.,Nợ ngắn hạn,310,,4.525.089.959.188,2.492.010.427.670,,310.0,,4525089959188.0,2492010427670.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,17,480.724.670.382,497.620.558.360,,311.0,17.0,480724670382.0,497620558360.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,,256.190.089,193.978.357,,312.0,,256190089.0,193978357.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,18,354.467.250,283.435.039,,313.0,18.0,354467250.0,283435039.0
4.,4.,4.,Phải trả người lao động,314,,12.029.629.973,9.537.544.095,,314.0,,12029629973.0,9537544095.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,19,104.125.623.057,73.472.959.375,,315.0,19.0,104125623057.0,73472959375.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,20,17.607.088.919,8.661.615.813,,318.0,20.0,17607088919.0,8661615813.0
7.,7.,7.,Phải trả ngắn hạn khác,319,21,2.164.564.532.404,1.191.809.013.881,,319.0,21.0,2164564532404.0,1191809013881.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,22,1.734.688.949.290,696.618.764.402,,320.0,22.0,1734688949290.0,696618764402.0
9.,9.,9.,Dự phòng phải trả ngắn hạn,321,,-,5.382.631.746,,321.0,,,5382631746.0
10.,10.,10.,"Quỹ khen thưởng, phúc lợi",322,,10.738.807.824,8.429.926.602,,322.0,,10738807824.0,8429926602.0
II.,II.,II.,Nợ dài hạn,330,,4.612.723.786.225,3.903.722.128.941,,330.0,,4612723786225.0,3903722128941.0
1.,1.,1.,Doanh thu chưa thực hiện dài hạn,336,20,169.542.346.342,174.887.579.086,,336.0,20.0,169542346342.0,174887579086.0
2.,2.,2.,Phải trả dài hạn khác,337,21,17.751.249.847,20.096.032.766,,337.0,21.0,17751249847.0,20096032766.0
3.,3.,3.,Vay và nợ thuê tài chính dài hạn,338,22,4.425.430.190.036,3.708.738.517.089,,338.0,22.0,4425430190036.0,3708738517089.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,9.304.834.147.589,5.509.741.352.890,,400.0,,9304834147589.0,5509741352890.0
I.,I.,I.,Vốn chủ sở hữu,410,23,9.303.227.711.488,5.507.979.950.121,,410.0,23.0,9303227711488.0,5507979950121.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,8.514.957.930.000,4.882.440.000.000,,411.0,,8514957930000.0,4882440000000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,8.514.957.930.000,4.882.440.000.000,,,,8514957930000.0,4882440000000.0
2.,2.,2.,Thặng dư vốn cổ phần,412,,663.218.256.718,13.074.761.451,,412.0,,663218256718.0,13074761451.0
3.,3.,3.,Cổ phiếu quỹ,415,,-,(102.997.990.700),,415.0,,,-102997990700.0
4.,4.,4.,Lợi nhuận sau thuế chưa phân phối,421,,125.051.524.770,715.463.179.370,,421.0,,125051524770.0,715463179370.0
,,,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,7.536.489.370,167.192.920.116,,,,7536489370.0,167192920116.0
,,,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,117.515.035.400,548.270.259.254,,,,117515035400.0,548270259254.0
II.,II.,II.,Nguồn kinh phí và quỹ khác,430,,1.606.436.101,1.761.402.769,,430.0,,1606436101.0,1761402769.0
1.,1.,1.,Nguồn kinh phí đã hình thành tài sản cố định,432,,1.606.436.101,1.761.402.769,,432.0,,1606436101.0,1761402769.0
