row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,10.905.481.331.871,8.772.936.323.497,,200.0,,10905481331871.0,8772936323497.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,1.648.998.000.000,637.628.957.500,,210.0,,1648998000000.0,637628957500.0
1.,1.,1.,Phải thu về cho vay dài hạn,215,8,1.634.375.000.000,608.125.000.000,,215.0,8.0,1634375000000.0,608125000000.0
2.,2.,2.,Phải thu dài hạn khác,216,9,14.623.000.000,29.503.957.500,,216.0,9.0,14623000000.0,29503957500.0
II.,II.,II.,Tài sản cố định,220,,44.213.693.928,47.861.340.723,,220.0,,44213693928.0,47861340723.0
1.,1.,1.,Tài sản cố định hữu hình,221,13,44.182.582.808,47.806.896.275,,221.0,13.0,44182582808.0,47806896275.0
,,,- Nguyên giá,222,,127.482.299.557,155.293.026.390,,222.0,,127482299557.0,155293026390.0
,,,- Giá trị hao mòn lũy kế,223,,(83.299.716.749),(107.486.130.115),,223.0,,-83299716749.0,-107486130115.0
2.,2.,2.,Tài sản cố định vô hình,227,,31.111.120,54.444.448,,227.0,,31111120.0,54444448.0
,,,- Nguyên giá,228,,130.000.000,130.000.000,,228.0,,130000000.0,130000000.0
,,,- Giá trị hao mòn lũy kế,229,,(98.888.880),(75.555.552),,229.0,,-98888880.0,-75555552.0
III.,III.,III.,Bắt động sản đầu tư,230,14,288.631.639.799,305.512.675.227,,230.0,14.0,288631639799.0,305512675227.0
,,,- Nguyên giá,231,,387.518.394.723,387.518.394.723,,231.0,,387518394723.0,387518394723.0
,,,- Giá trị hao mòn lũy kế,232,,(98.886.754.924),(82.005.719.496),,232.0,,-98886754924.0,-82005719496.0
IV.,IV.,IV.,Tài sản dở dang dài hạn,240,,310.854.190.682,32.290.749.049,,240.0,,310854190682.0,32290749049.0
1.,1.,1.,Chi phí xây dựng cơ bản dở dang,242,15,310.854.190.682,32.290.749.049,,242.0,15.0,310854190682.0,32290749049.0
V.,V.,V.,Đầu tư tài chính dài hạn,250,16,8.585.695.772.332,7.718.521.548.407,,250.0,16.0,8585695772332.0,7718521548407.0
1.,1.,1.,Đầu tư vào công ty con,251,,8.533.837.076.877,4.922.220.193.368,,251.0,,8533837076877.0,4922220193368.0
2.,2.,2.,"Đầu tư vào công ty liên doanh, liên kết",252,,51.858.695.455,2.796.301.355.039,,252.0,,51858695455.0,2796301355039.0
VI.,VI.,VI.,Tài sản dài hạn khác,260,,27.088.035.130,31.121.052.591,,260.0,,27088035130.0,31121052591.0
1.,1.,1.,Chi phí trả trước dài hạn,261,12,27.088.035.130,31.121.052.591,,261.0,12.0,27088035130.0,31121052591.0
,,,TỔNG CỘNG TÀI SẢN (270=100+200),270,,18.442.647.893.002,11.905.473.909.501,,270.0,,18442647893002.0,11905473909501.0
