row_label_raw,row_label_full,STT,Tên công ty con,Trụ sở chính,Tỷ lệ phần sở hữu (%),Tỷ lệ quyền biểu quyết(%),Hoạt động chính,numeric__Tên công ty con,numeric__Trụ sở chính,numeric__Tỷ lệ phần sở hữu (%),numeric__Tỷ lệ quyền biểu quyết(%),numeric__Hoạt động chính
1.,1.,1.,"Công ty Cổ phần Sản xuất Thiết bị Điện Đông Anh (""MEE"")",Hà Nội,51%,51%,Sản xuất và kinh doanh máy biến áp,,,0.51,0.51,
STT,STT,STT,Tên công ty liên kết,Trụ sở chính,Tỷ lệ phần sở hữu (%),Tỷ lệ quyền biểu quyết(%),Hoạt động chính,,,,,
1.,STT > 1.,1.,Tổng Công ty Thiết bị điện Đông Anh - Công ty Cổ phần,Hà Nội,"24,95%","24,95%","Kinh doanh máy móc, thiết bị điện, thiết kế công trình điện",,,0.2495,0.2495,
