row_label_raw,row_label_full,col_0,Tại ngày1.1.2023VND,Nhận tiền vayVND,Chênh lệch tỷ giảVND,Vay dài hạnđen hạn trảVND,Phân loại lạiVND,Trả nợ vay/phân bổ chi phíphát hành trái phiếuVND,Tại ngày31.12.2023VND,numeric__Tại ngày1.1.2023VND,numeric__Nhận tiền vayVND,numeric__Chênh lệch tỷ giảVND,numeric__Vay dài hạnđen hạn trảVND,numeric__Phân loại lạiVND,numeric__Trả nợ vay/phân bổ chi phíphát hành trái phiếuVND,numeric__Tại ngày31.12.2023VND
Phát hành trái phiếu (*),Phát hành trái phiếu (*),Phát hành trái phiếu (*),14.513.023.400.000,-,-,3.928.000.000.000,(2.751.632.066.970),(1.258.731.990.766),14.430.659.342.264,14513023400000.0,,,3928000000000.0,-2751632066970.0,-1258731990766.0,14430659342264.0
Vay bên thử ba (**),Vay bên thử ba (**),Vay bên thử ba (**),2.481.195.535.830,-,130.589.400.000,3.396.732.364.170,-,(355.238.100.000),5.653.279.200.000,2481195535830.0,,130589400000.0,3396732364170.0,,-355238100000.0,5653279200000.0
Vay ngân hàng (***),Vay ngân hàng (***),Vay ngân hàng (***),895.026.818.318,-,18.891.707.064,794.379.898.644,-,(907.796.369.674),800.502.154.352,895026818318.0,,18891707064.0,794379898644.0,,-907796369674.0,800502154352.0
Vay bên liên quan(Thuyết minh 34(b)),Vay bên liên quan(Thuyết minh 34(b)),Vay bên liên quan(Thuyết minh 34(b)),-,23.140.000.000,-,-,-,(23.140.000.000),-,,23140000000.0,,,,-23140000000.0,
Chi phí phát hành tráiphiêu,Chi phí phát hành tráiphiêu,Chi phí phát hành tráiphiêu,(62.369.400.538),-,-,(102.518.507.775),-,70.267.821.877,(94.620.086.436),-62369400538.0,,,-102518507775.0,,70267821877.0,-94620086436.0
,,,17.826.876.353.610,23.140.000.000,149.481.107.064,8.016.593.855.039,(2.751.632.066.970),(2.474.638.638.563),20.789.820.610.180,17826876353610.0,23140000000.0,149481107064.0,8016593855039.0,-2751632066970.0,-2474638638563.0,20789820610180.0
(b) Vay dài hạn,(b) Vay dài hạn,(b) Vay dài hạn,(b) Vay dài hạn,(b) Vay dài hạn,(b) Vay dài hạn,(b) Vay dài hạn,(b) Vay dài hạn,(b) Vay dài hạn,(b) Vay dài hạn,,,,,,,
,,,Tại ngày1.1.2023VND,Nhận tiền vayVND,Chênh lệch tỷ giảVND,Vay dài hạnđen hạn trảVND,Phân loại lạiVND,Trả nợ vay/phân bổ chi phíphát hành trái phiếuVND,Tại ngày31.12.2023VND,,,,,,,
Phát hành trái phiếu (*),(b) Vay dài hạn > Phát hành trái phiếu (*),Phát hành trái phiếu (*),15.109.778.000.000,-,206.034.000.000,(3.928.000.000.000),2.751.632.066.970,(2.429.754.707.851),11.709.689.359.119,15109778000000.0,,206034000000.0,-3928000000000.0,2751632066970.0,-2429754707851.0,11709689359119.0
Vay bên thử ba (***),(b) Vay dài hạn > Vay bên thử ba (***),Vay bên thử ba (***),5.086.317.354.170,-,68.655.000.000,(3.396.732.364.170),-,-,1.758.240.000.000,5086317354170.0,,68655000000.0,-3396732364170.0,,,1758240000000.0
Vay ngân hàng (***),(b) Vay dài hạn > Vay ngân hàng (***),Vay ngân hàng (***),4.722.500.004.746,-,21.488.571.606,(794.379.998.644),-,(2.239.700.000.000),1.709.908.577.708,4722500004746.0,,21488571606.0,-794379998644.0,,-2239700000000.0,1709908577708.0
Vay bên liên quan(Thuyết minh 34(b)),(b) Vay dài hạn > Vay bên liên quan(Thuyết minh 34(b)),Vay bên liên quan(Thuyết minh 34(b)),-,432.000.000.000,-,-,-,-,432.000.000.000,,432000000000.0,,,,,432000000000.0
Chi phí phát hành tráiphiêu,(b) Vay dài hạn > Chi phí phát hành tráiphiêu,Chi phí phát hành tráiphiêu,(427.564.626.026),-,-,102.518.507.775,-,174.719.387.007,(150.326.731.244),-427564626026.0,,,102518507775.0,,174719387007.0,-150326731244.0
,,,24.491.030.742.890,432.000.000.000,296.177.571.606,(8.016.593.855.039),2.751.632.066.970,(4.494.735.320.844),15.459.511.205.563,24491030742890.0,432000000000.0,296177571606.0,-8016593855039.0,2751632066970.0,-4494735320844.0,15459511205563.0
