row_label_raw,row_label_full,col_0,col_1,Tại ngày1.1.2023VND,Số (phải thu)/ phảinộp trong nămVND,Cán trừtrong nămVND,Số đã thực nộptrong nămVND,Tại ngày31.12.2023VND,numeric__col_1,numeric__Tại ngày1.1.2023VND,numeric__Số (phải thu)/ phảinộp trong nămVND,numeric__Cán trừtrong nămVND,numeric__Số đã thực nộptrong nămVND,numeric__Tại ngày31.12.2023VND
(a),(a),(a),Phải thu,,,,,,,,,,,
(a),(a) > (a),(a),Thuế GTGT được khấu trừ,(2.237.545.169),(38.306.270.799),22.181.117.556,-,(18.362.698.412),,-2237545169.0,-38306270799.0,22181117556.0,,-18362698412.0
(a),(a) > (a),(a),Thuế TNDN tạm nộp 1%,(3.398.844.983),-,-,-,(3.398.844.983),,-3398844983.0,,,,-3398844983.0
(a),(a) > (a),(a),Thuế TNDN nộp thừa,(266.404.354),-,-,-,(266.404.354),,-266404354.0,,,,-266404354.0
(a),(a) > (a),(a),,(5.902.794.506),(38.306.270.799),22.181.117.556,-,(22.027.947.749),,-5902794506.0,-38306270799.0,22181117556.0,,-22027947749.0
(b),(b),(b),Phải nộp,,,,,,,,,,,
(b),(b) > (b),(b),Thuế nhà thầu,24.658.114.711,56.767.964.320,-,(74.935.522.977),6.490.556.054,,24658114711.0,56767964320.0,,-74935522977.0,6490556054.0
(b),(b) > (b),(b),Thuế thu nhập cá nhân,2.936.986.578,15.450.177.445,-,(17.144.090.025),1.243.073.998,,2936986578.0,15450177445.0,,-17144090025.0,1243073998.0
(b),(b) > (b),(b),Thuế GTGT hàng bản nội địa,-,22.181.117.556,(22.181.117.556),-,-,,,22181117556.0,-22181117556.0,,
(b),(b) > (b),(b),Khác,-,5.841.583.970,-,(4.691.012.450),1.150.571.520,,,5841583970.0,,-4691012450.0,1150571520.0
(b),(b) > (b),(b),,27.595.101.289,100.240.843.291,(22.181.117.556),(96.770.625.452),8.884.201.572,,27595101289.0,100240843291.0,-22181117556.0,-96770625452.0,8884201572.0
