row_label_raw,row_label_full,Họ và tên,Chức danh,2022,2022_1,numeric__Chức danh,numeric__2022,numeric__2022_1
Họ và tên,Họ và tên,Họ và tên,Chức danh,Tiền lương,Thù lao,,,
Bùi Thành Nhơn,Họ và tên > Bùi Thành Nhơn,Bùi Thành Nhơn,Chủ tịch HĐQT,-,61.290.323,,,61290323.0
Bùi Xuân Huy,Họ và tên > Bùi Xuân Huy,Bùi Xuân Huy,Chủ tịch HĐQT,-,1.144.838.710,,,1144838710.0
Hoàng Thu Châu,Họ và tên > Hoàng Thu Châu,Hoàng Thu Châu,Thành viên HĐQT,-,120.000.000,,,120000000.0
Nguyễn Ngọc Huyền,Họ và tên > Nguyễn Ngọc Huyền,Nguyễn Ngọc Huyền,Thành viên HĐQT,-,30.000.000,,,30000000.0
Nguyễn Đức Dũng,Họ và tên > Nguyễn Đức Dũng,Nguyễn Đức Dũng,Thành viên HĐQT,-,30.000.000,,,30000000.0
Phạm Tiến Vân,Họ và tên > Phạm Tiến Vân,Phạm Tiến Vân,Thành viên độc lập,-,600.000.000,,,600000000.0
Lê Quốc Hưng,Họ và tên > Lê Quốc Hưng,Lê Quốc Hưng,Thành viên độc lập,-,300.000.000,,,300000000.0
Nguyễn Mỹ Hạnh,Họ và tên > Nguyễn Mỹ Hạnh,Nguyễn Mỹ Hạnh,Thành viên độc lập,-,600.000.000,,,600000000.0
Bùi Xuân Huy,Họ và tên > Bùi Xuân Huy,Bùi Xuân Huy,Tổng Giám đốc,409.090.909,-,,409090909.0,
Hoàng Thu Châu,Họ và tên > Hoàng Thu Châu,Hoàng Thu Châu,Phó Tổng Giám đốc,272.727.273,-,,272727273.0,
Nguyễn Ngọc Huyền,Họ và tên > Nguyễn Ngọc Huyền,Nguyễn Ngọc Huyền,Tổng Giám đốc,4.081.980.826,-,,4081980826.0,
Dương Thị Thu Thủy,Họ và tên > Dương Thị Thu Thủy,Dương Thị Thu Thủy,Phó Tổng Giám đốc,2.065.259.901,-,,2065259901.0,
Võ Thị Cao Ly,Họ và tên > Võ Thị Cao Ly,Võ Thị Cao Ly,Phó Tổng Giám đốc,2.896.718.481,-,,2896718481.0,
Huỳnh Minh Lâm,Họ và tên > Huỳnh Minh Lâm,Huỳnh Minh Lâm,Kế toán trường,996.717.273,-,,996717273.0,
Nguyễn Đức Dũng,Họ và tên > Nguyễn Đức Dũng,Nguyễn Đức Dũng,Giám đốc Tài chính,2.363.272.727,-,,2363272727.0,
