row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tảiVND,Thiết bịquản lýVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2023,Nguyên giá > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,517.090.349.225,18.832.891.670,23.304.882.709,52.147.237.769,99.000.000,611.474.361.373,517090349225.0,18832891670.0,23304882709.0,52147237769.0,99000000.0,611474361373.0
Chuyên từ xây dựngcơ bản dở dang(Thuyết minh 13),Nguyên giá > Chuyên từ xây dựngcơ bản dở dang(Thuyết minh 13),Chuyên từ xây dựngcơ bản dở dang(Thuyết minh 13),4.996.405.960,-,-,-,-,4.996.405.960,4996405960.0,,,,,4996405960.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,-,3.072.531.894,-,-,3.072.531.894,,,3072531894.0,,,3072531894.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(8.320.346.966),-,-,(8.320.346.966),,,-8320346966.0,,,-8320346966.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,-,-,(275.041.392),-,(275.041.392),,,,-275041392.0,,-275041392.0
Tại ngày 31 tháng 12 năm 2023,Nguyên giá > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,522.086.755.185,18.832.891.670,18.057.067.637,51.872.196.377,99.000.000,610.947.910.869,522086755185.0,18832891670.0,18057067637.0,51872196377.0,99000000.0,610947910869.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,(57.747.449.944),(8.424.095.603),(20.222.705.241),(45.751.692.194),(99.000.000),(132.244.942.982),-57747449944.0,-8424095603.0,-20222705241.0,-45751692194.0,-99000000.0,-132244942982.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(11.287.048.818),(1.053.263.527),(458.495.414),(4.077.106.270),-,(16.875.914.029),-11287048818.0,-1053263527.0,-458495414.0,-4077106270.0,,-16875914029.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,6.001.084.840,-,-,6.001.084.840,,,6001084840.0,,,6001084840.0
Xóa số,Giá trị khấu hao lũy kế > Xóa số,Xóa số,-,-,-,275.041.392,-,275.041.392,,,,275041392.0,,275041392.0
Tại ngày 31 tháng 12 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,(69.034.498.762),(9.477.359.130),(14.680.115.815),(49.553.757.072),(99.000.000),(142.844.730.779),-69034498762.0,-9477359130.0,-14680115815.0,-49553757072.0,-99000000.0,-142844730779.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,459.342.899.281,10.408.796.067,3.082.177.468,6.395.545.575,-,479.229.418.391,459342899281.0,10408796067.0,3082177468.0,6395545575.0,,479229418391.0
Tại ngày 31 tháng 12 năm 2023,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,453.052.256.423,9.355.532.540,3.376.951.822,2.318.439.305,-,468.103.180.090,453052256423.0,9355532540.0,3376951822.0,2318439305.0,,468103180090.0
