row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,"Phần mềm, bán quyền VND",Tổng cộng VND,numeric__Quyền sử dụng đất VND,"numeric__Phần mềm, bán quyền VND",numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2023,Nguyên giá > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,57.754.517.947,108.189.405.675,165.943.923.622,57754517947.0,108189405675.0,165943923622.0
Chuyển từ xây dựng cơ bảnđở dang (Thuyết minh 13),Nguyên giá > Chuyển từ xây dựng cơ bảnđở dang (Thuyết minh 13),Chuyển từ xây dựng cơ bảnđở dang (Thuyết minh 13),-,3.943.422.500,3.943.422.500,,3943422500.0,3943422500.0
Tại ngày 31 tháng 12 năm 2023,Nguyên giá > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,57.754.517.947,112.132.828.175,169.887.346.122,57754517947.0,112132828175.0,169887346122.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,-,(82.890.982.906),(82.890.982.906),,-82890982906.0,-82890982906.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,(17.223.394.472),(17.223.394.472),,-17223394472.0,-17223394472.0
Tại ngày 31 tháng 12 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,-,(100.114.377.378),(100.114.377.378),,-100114377378.0,-100114377378.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,57.754.517.947,25.298.422.769,83.052.940.716,57754517947.0,25298422769.0,83052940716.0
Tại ngày 31 tháng 12 năm 2023,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,57.754.517.947,12.018.450.797,69.772.968.744,57754517947.0,12018450797.0,69772968744.0
