row_label_raw,row_label_full,Công ty Cổ phần Chứng khoán VPS (i),7.000.000.000.000,7.000.000.000.000_1,numeric__7.000.000.000.000,numeric__7.000.000.000.000_1
Công ty Cổ phần Chứng khoán SSI (xvii),Công ty Cổ phần Chứng khoán SSI (xvii),Công ty Cổ phần Chứng khoán SSI (xvii),2.274.000.000.000,-,2274000000000.0,
Công ty Cổ phần Chứng khoán SSI (xvii),Công ty Cổ phần Chứng khoán SSI (xvii),Công ty Cổ phần Chứng khoán SSI (xvii),1.154.000.000.000,-,1154000000000.0,
Công ty Cổ phần Chứng khoán BIDV (ii),Công ty Cổ phần Chứng khoán BIDV (ii),Công ty Cổ phần Chứng khoán BIDV (ii),901.566.355.219,1.000.000.000.000,901566355219.0,1000000000000.0
Công ty Cổ phần Chứng khoán Dầu Khí (iii),Công ty Cổ phần Chứng khoán Dầu Khí (iii),Công ty Cổ phần Chứng khoán Dầu Khí (iii),774.657.418.449,1.000.000.000.000,774657418449.0,1000000000000.0
Công ty Cổ phần Chứng khoán Dầu Khí (iv),Công ty Cổ phần Chứng khoán Dầu Khí (iv),Công ty Cổ phần Chứng khoán Dầu Khí (iv),732.142.600.832,1.000.000.000.000,732142600832.0,1000000000000.0
Công ty Cổ phần Chứng khoán BIDV (v),Công ty Cổ phần Chứng khoán BIDV (v),Công ty Cổ phần Chứng khoán BIDV (v),483.936.338.279,-,483936338279.0,
Công ty Cổ phần Chứng khoán BIDV (vi),Công ty Cổ phần Chứng khoán BIDV (vi),Công ty Cổ phần Chứng khoán BIDV (vi),286.595.420.014,300.000.000.000,286595420014.0,300000000000.0
Công ty Cổ phần Chứng khoán BIDV (vii),Công ty Cổ phần Chứng khoán BIDV (vii),Công ty Cổ phần Chứng khoán BIDV (vii),282.503.939.839,625.700.000.000,282503939839.0,625700000000.0
Công ty Cổ phần Chứng khoán BIDV (viii),Công ty Cổ phần Chứng khoán BIDV (viii),Công ty Cổ phần Chứng khoán BIDV (viii),155.754.236.602,157.300.000.000,155754236602.0,157300000000.0
Công ty Cổ phần Chứng khoán Dầu Khí (ix),Công ty Cổ phần Chứng khoán Dầu Khí (ix),Công ty Cổ phần Chứng khoán Dầu Khí (ix),150.610.133.030,-,150610133030.0,
Công ty TNHH Chứng khoán Mirae Asset(Viết Nam) (x),Công ty TNHH Chứng khoán Mirae Asset(Viết Nam) (x),Công ty TNHH Chứng khoán Mirae Asset(Viết Nam) (x),130.700.000.000,137.600.000.000,130700000000.0,137600000000.0
Công ty Cổ phần Chứng khoán BIDV (xi),Công ty Cổ phần Chứng khoán BIDV (xi),Công ty Cổ phần Chứng khoán BIDV (xi),104.192.900.000,220.000.000.000,104192900000.0,220000000000.0
Công ty Cổ phần Chứng khoán Kỹ Thương (xii),Công ty Cổ phần Chứng khoán Kỹ Thương (xii),Công ty Cổ phần Chứng khoán Kỹ Thương (xii),-,1.300.000.000.000,,1300000000000.0
Công ty Cổ phần Chứng khoán MB (xiii),Công ty Cổ phần Chứng khoán MB (xiii),Công ty Cổ phần Chứng khoán MB (xiii),-,864.003.400.000,,864003400000.0
Công ty Cổ phần Chứng khoán Dầu khí (xiv),Công ty Cổ phần Chứng khoán Dầu khí (xiv),Công ty Cổ phần Chứng khoán Dầu khí (xiv),-,650.000.000.000,,650000000000.0
Công ty TNHH Chứng khoán YuanTa (xv),Công ty TNHH Chứng khoán YuanTa (xv),Công ty TNHH Chứng khoán YuanTa (xv),-,258.420.000.000,,258420000000.0
,,,14.430.659.342.264,14.513.023.400.000,14430659342264.0,14513023400000.0
