row_label_raw,row_label_full,Mã số,col_1,Thuyết minh,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2023 VND,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2022 VND,numeric__col_1,numeric__Thuyết minh,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2023 VND,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2022 VND
01,01,01,Doanh thu bán hàng và cung cấp dịch vụ,,222.006.658.989,1.039.685.478.188,,,222006658989.0,1039685478188.0
02,02,02,Các khoản giảm trừ doanh thu,,-,-,,,,
10,02 > 10,10,Doanh thu thuần về bán hàng và cung cấp dịch vụ,24,222.006.658.989,1.039.685.478.188,,24.0,222006658989.0,1039685478188.0
11,02 > 11,11,Giá vốn hàng bán và dịch vụ cung cấp,25,(191.719.776.293),(857.690.208.751),,25.0,-191719776293.0,-857690208751.0
20,02 > 20,20,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,30.286.882.696,181.995.269.437,,,30286882696.0,181995269437.0
21,02 > 21,21,Doanh thu hoạt động tài chính,26,1.199.904.775.197,4.835.355.982.315,,26.0,1199904775197.0,4835355982315.0
22,02 > 22,22,Chi phí tài chính,27,(5.377.151.371.782),(5.561.010.931.330),,27.0,-5377151371782.0,-5561010931330.0
23,02 > 23,23,- Trong đó: Chi phí lãi vay,27,(4.065.675.739.090),(4.003.206.713.991),,27.0,-4065675739090.0,-4003206713991.0
25,02 > 25,25,Chi phí bán hàng,,(7.694.523.522),(9.244.455.367),,,-7694523522.0,-9244455367.0
26,02 > 26,26,Chi phí quản lý doanh nghiệp,28,(96.029.877.309),(73.499.900.871),,28.0,-96029877309.0,-73499900871.0
30,02 > 30,30,Lỗ thuần từ hoạt động kinh doanh,,(4.250.684.114.720),(626.404.035.816),,,-4250684114720.0,-626404035816.0
31,02 > 31,31,Thu nhập khác,,383.256.155.557,13.739.821.545,,,383256155557.0,13739821545.0
32,02 > 32,32,Chi phí khác,,(1.842.775.609),(922.206.287),,,-1842775609.0,-922206287.0
40,02 > 40,40,Lợi nhuận khác,29,381.413.379.948,12.817.615.258,,29.0,381413379948.0,12817615258.0
50,02 > 50,50,Tổng lỗ kế toán trước thuế,,(3.869.270.734.772),(613.586.420.558),,,-3869270734772.0,-613586420558.0
51,02 > 51,51,"Chi phí thuế thu nhập doanh nghiệp (""TNDN"") hiện hành",30,-,-,,30.0,,
52,02 > 52,52,Chi phí thuế TNDN hoãn lại,30,-,-,,30.0,,
60,02 > 60,60,Lỗ sau thuế TNDN,,(3.869.270.734.772),(613.586.420.558),,,-3869270734772.0,-613586420558.0
