row_label_raw,row_label_full,"Credit Suisse AG, Chi nhánh Singapore (xvi)",7.291.812.000.000,7.085.778.000.000,numeric__7.291.812.000.000,numeric__7.085.778.000.000
Công ty Cổ phần Chứng khoán Kỹ Thương (xii),Công ty Cổ phần Chứng khoán Kỹ Thương (xii),Công ty Cổ phần Chứng khoán Kỹ Thương (xii),1.300.000.000.000,-,1300000000000.0,
Công ty Cổ phần Chứng khoán Dầu Khi (ix),Công ty Cổ phần Chứng khoán Dầu Khi (ix),Công ty Cổ phần Chứng khoán Dầu Khi (ix),1.290.635.159.119,1.500.000.000.000,1290635159119.0,1500000000000.0
Công ty Cổ phần Chứng khoán MB (xiii),Công ty Cổ phần Chứng khoán MB (xiii),Công ty Cổ phần Chứng khoán MB (xiii),864.003.400.000,-,864003400000.0,
Công ty Cổ phần Chứng khoán Dầu khí (xiv),Công ty Cổ phần Chứng khoán Dầu khí (xiv),Công ty Cổ phần Chứng khoán Dầu khí (xiv),649.900.000.000,-,649900000000.0,
Công ty Cổ phần Chứng khoán BIDV (xviii),Công ty Cổ phần Chứng khoán BIDV (xviii),Công ty Cổ phần Chứng khoán BIDV (xviii),225.000.000.000,250.000.000.000,225000000000.0,250000000000.0
Công ty TNHH Chứng khoán YuanTa (xv),Công ty TNHH Chứng khoán YuanTa (xv),Công ty TNHH Chứng khoán YuanTa (xv),88.338.800.000,-,88338800000.0,
Công ty Cổ phần Chứng khoán SSI (xvii),Công ty Cổ phần Chứng khoán SSI (xvii),Công ty Cổ phần Chứng khoán SSI (xvii),-,4.620.000.000.000,,4620000000000.0
Công ty Cổ phần Chứng khoán SSI (xvii),Công ty Cổ phần Chứng khoán SSI (xvii),Công ty Cổ phần Chứng khoán SSI (xvii),-,1.154.000.000.000,,1154000000000.0
Công ty Cổ phần Chứng khoán BIDV (v),Công ty Cổ phần Chứng khoán BIDV (v),Công ty Cổ phần Chứng khoán BIDV (v),-,500.000.000.000,,500000000000.0
,,,11.709.689.359.119,15.109.778.000.000,11709689359119.0,15109778000000.0
