row_label_raw,row_label_full,Tên công ty,Mối quan hệ,numeric__Mối quan hệ
Công ty Cổ phần NovaGroup,Công ty Cổ phần NovaGroup,Công ty Cổ phần NovaGroup,Cổ đông lớn,
Công ty Cổ phần Diamond Properties,Công ty Cổ phần Diamond Properties,Công ty Cổ phần Diamond Properties,Cổ đông lớn,
Công ty Cổ phần Địa ốc Thành Nhơn,Công ty Cổ phần Địa ốc Thành Nhơn,Công ty Cổ phần Địa ốc Thành Nhơn,Công ty con,
Công ty TNHH Bất động sản Gia Phú,Công ty TNHH Bất động sản Gia Phú,Công ty TNHH Bất động sản Gia Phú,Công ty con,
Công ty TNHH Bất động sản Nova Riverside,Công ty TNHH Bất động sản Nova Riverside,Công ty TNHH Bất động sản Nova Riverside,Công ty con,
Công ty TNHH Nova Property Management,Công ty TNHH Nova Property Management,Công ty TNHH Nova Property Management,Công ty con,
Công ty TNHH The Forest City,Công ty TNHH The Forest City,Công ty TNHH The Forest City,Công ty con,
Công ty TNHH Bất Đông Sản Khải Hưng,Công ty TNHH Bất Đông Sản Khải Hưng,Công ty TNHH Bất Đông Sản Khải Hưng,Công ty con,
Công ty TNHH Delta – Valley Bình Thuận,Công ty TNHH Delta – Valley Bình Thuận,Công ty TNHH Delta – Valley Bình Thuận,Công ty con,
Công ty TNHH Bất động sản Đả Lạt Valley,Công ty TNHH Bất động sản Đả Lạt Valley,Công ty TNHH Bất động sản Đả Lạt Valley,Công ty con,
Công ty Cổ phần Nova Hospitality,Công ty Cổ phần Nova Hospitality,Công ty Cổ phần Nova Hospitality,Công ty con,
Công ty Cổ phần The Prince Residence,Công ty Cổ phần The Prince Residence,Công ty Cổ phần The Prince Residence,Công ty con,
Công ty TNHH Đầu tư và Phát triển Bất động sản An Phát,Công ty TNHH Đầu tư và Phát triển Bất động sản An Phát,Công ty TNHH Đầu tư và Phát triển Bất động sản An Phát,Công ty con,
Công ty TNHH Bất động sản Bách Hợp,Công ty TNHH Bất động sản Bách Hợp,Công ty TNHH Bất động sản Bách Hợp,Công ty con,
Công ty Cổ phần Kinh doanh Bất động sản Thái Bình,Công ty Cổ phần Kinh doanh Bất động sản Thái Bình,Công ty Cổ phần Kinh doanh Bất động sản Thái Bình,Công ty con,
Công ty TNHH Bất động sản Gia Đức,Công ty TNHH Bất động sản Gia Đức,Công ty TNHH Bất động sản Gia Đức,Công ty con,
Công ty Cổ phần Địa ốc Ngân Hiệp,Công ty Cổ phần Địa ốc Ngân Hiệp,Công ty Cổ phần Địa ốc Ngân Hiệp,Công ty con,
Công ty TNHH Du lịch Bình An,Công ty TNHH Du lịch Bình An,Công ty TNHH Du lịch Bình An,Công ty con,
Công ty TNHH Đầu tư và Phát triển Bất động sản Nova Phúc Nguyên,Công ty TNHH Đầu tư và Phát triển Bất động sản Nova Phúc Nguyên,Công ty TNHH Đầu tư và Phát triển Bất động sản Nova Phúc Nguyên,Công ty con,
Công ty TNHH Đầu tư Bất động sản Long Hưng Phát,Công ty TNHH Đầu tư Bất động sản Long Hưng Phát,Công ty TNHH Đầu tư Bất động sản Long Hưng Phát,Công ty con,
Công ty Cổ phần Hoàn Vũ,Công ty Cổ phần Hoàn Vũ,Công ty Cổ phần Hoàn Vũ,Công ty con,
Công ty Cổ phần Phát triển Đất Việt,Công ty Cổ phần Phát triển Đất Việt,Công ty Cổ phần Phát triển Đất Việt,Công ty con,
Công ty TNHH Thành phố Aqua,Công ty TNHH Thành phố Aqua,Công ty TNHH Thành phố Aqua,Công ty con,
Công ty Cổ phần Đầu tư Địa ốc No Va,Công ty Cổ phần Đầu tư Địa ốc No Va,Công ty Cổ phần Đầu tư Địa ốc No Va,Công ty con,
Công ty TNHH Đầu tư và Phát triển Bất động sản Cửu Long,Công ty TNHH Đầu tư và Phát triển Bất động sản Cửu Long,Công ty TNHH Đầu tư và Phát triển Bất động sản Cửu Long,Công ty con,
Công ty TNHH Nova Lucky Palace,Công ty TNHH Nova Lucky Palace,Công ty TNHH Nova Lucky Palace,Công ty con,
Công ty TNHH MTV Novaland Agent,Công ty TNHH MTV Novaland Agent,Công ty TNHH MTV Novaland Agent,Công ty con,
Công ty Cổ phần Điện tử và Dịch vụ Công nghiệp Sài Gòn,Công ty Cổ phần Điện tử và Dịch vụ Công nghiệp Sài Gòn,Công ty Cổ phần Điện tử và Dịch vụ Công nghiệp Sài Gòn,Công ty liên kết,
Công ty Cổ phần Phát triển và Dịch vụ Nhà Bến Thành,Công ty Cổ phần Phát triển và Dịch vụ Nhà Bến Thành,Công ty Cổ phần Phát triển và Dịch vụ Nhà Bến Thành,Công ty liên kết,
Công ty Cổ phần Đầu tư Phát triển NSQ,Công ty Cổ phần Đầu tư Phát triển NSQ,Công ty Cổ phần Đầu tư Phát triển NSQ,Công ty thuộc sở hữu của cổ đông,
