row_label_raw,row_label_full,"Cổ tức nhận được trong năm từ góp vốn, mua cổ phần.",Năm 2017 > 1.498,Năm 2016 > 600,numeric__Năm 2017 > 1.498,numeric__Năm 2016 > 600
"Từ góp vốn, đầu tư dài hạn","Từ góp vốn, đầu tư dài hạn","Từ góp vốn, đầu tư dài hạn",1.498,600,1498.0,600.0
Tổng cộng,Tổng cộng,Tổng cộng,1.498,600,1498.0,600.0
