row_label_raw,row_label_full,Năm này > Số dư đầu năm > Dự phòng rủi ro trích lập trong năm /(Hoàn nhập trong năm),Dự phòng chung > 89.506 > 11.548,Dự phòng cụ thể > 13.275 > 212.381,numeric__Dự phòng chung > 89.506 > 11.548,numeric__Dự phòng cụ thể > 13.275 > 212.381
Dự phòng giảm do xử lý các khoản nợ phải thu hồi bằng nguồn dự phòng,Dự phòng giảm do xử lý các khoản nợ phải thu hồi bằng nguồn dự phòng,Dự phòng giảm do xử lý các khoản nợ phải thu hồi bằng nguồn dự phòng,-,(209.802),,-209802.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,101.054,15.854,101054.0,15854.0
Năm trước,Năm trước,Năm trước,,,,
Số dư đầu năm,Năm trước > Số dư đầu năm,Số dư đầu năm,81.136,10.701,81136.0,10701.0
Dự phòng rủi ro trích lập trong năm /(Hoàn nhập trong năm),Năm trước > Dự phòng rủi ro trích lập trong năm /(Hoàn nhập trong năm),Dự phòng rủi ro trích lập trong năm /(Hoàn nhập trong năm),8.370,86.090,8370.0,86090.0
Dự phòng giảm do xử lý các khoản nợ phải thu hồi bằng nguồn dự phòng,Năm trước > Dự phòng giảm do xử lý các khoản nợ phải thu hồi bằng nguồn dự phòng,Dự phòng giảm do xử lý các khoản nợ phải thu hồi bằng nguồn dự phòng,-,(83.516),,-83516.0
Số dư cuối năm,Năm trước > Số dư cuối năm,Số dư cuối năm,89.506,13.275,89506.0,13275.0
Chi tiết số dư dự phòng,Chi tiết số dư dự phòng,Chi tiết số dư dự phòng,31/12/2017,31/12/2016,,
Dự phòng rủi ro cho vay khách hàng,Chi tiết số dư dự phòng > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,116.908,102.781,116908.0,102781.0
+ Dự phòng chung,Chi tiết số dư dự phòng > + Dự phòng chung,+ Dự phòng chung,101.054,89.506,101054.0,89506.0
+ Dự phòng cụ thể,Chi tiết số dư dự phòng > + Dự phòng cụ thể,+ Dự phòng cụ thể,15.854,13.275,15854.0,13275.0
Cộng,Chi tiết số dư dự phòng > Cộng,Cộng,116.908,102.781,116908.0,102781.0
