row_label_raw,row_label_full,31/12/2017,Tổng dư nợ cho vay,Tổng tiền gửi của khách hàng,Các cam kết tin dụng,CCTC phải sinh (Tổng giá trị giao dịch theo hợp đồng),Kinh doanh và đầu tư chứng khoản,numeric__Tổng dư nợ cho vay,numeric__Tổng tiền gửi của khách hàng,numeric__Các cam kết tin dụng,numeric__CCTC phải sinh (Tổng giá trị giao dịch theo hợp đồng),numeric__Kinh doanh và đầu tư chứng khoản
Trong nước,Trong nước,Trong nước,14.105.444,14.849.499,253.633,-,1.946.070,14105444.0,14849499.0,253633.0,,1946070.0
Ngoai nước,Ngoai nước,Ngoai nước,-,-,-,-,-,,,,,
