row_label_raw,row_label_full,- Trái phiếu Chính phủ và Trái phiếu Đô thị,1.333.033,1.986.781,numeric__1.333.033,numeric__1.986.781
Cộng,Cộng,Cộng,1.333.033,1.986.781,1333033.0,1986781.0
Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,31/12/2017,31/12/2016,,
- Mệnh giá trái phiếu đặc biệt,Trái phiếu đặc biệt do VAMC phát hành > - Mệnh giá trái phiếu đặc biệt,- Mệnh giá trái phiếu đặc biệt,613.037,689.091,613037.0,689091.0
- Dự phòng trái phiếu đặc biệt,Trái phiếu đặc biệt do VAMC phát hành > - Dự phòng trái phiếu đặc biệt,- Dự phòng trái phiếu đặc biệt,(330.846),(286.080),-330846.0,-286080.0
Cộng,Trái phiếu đặc biệt do VAMC phát hành > Cộng,Cộng,282.191,403.011,282191.0,403011.0
Tổng cộng,Trái phiếu đặc biệt do VAMC phát hành > Tổng cộng,Tổng cộng,1.615.224,2.389.792,1615224.0,2389792.0
