row_label_raw,row_label_full,Khoản mục,"Nhà cửa, vật kiến trúc",Máy móc thiết bị,Phương tiện vận tải truyền dẫn,Thiết bị dụng cụ quản lý,Tài sản cố định khác,Tổng cộng,"numeric__Nhà cửa, vật kiến trúc",numeric__Máy móc thiết bị,numeric__Phương tiện vận tải truyền dẫn,numeric__Thiết bị dụng cụ quản lý,numeric__Tài sản cố định khác,numeric__Tổng cộng
Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ hữu hình > Số dư đầu năm,Số dư đầu năm,757.071,69.212,51.522,37.143,11.311,926.259,757071.0,69212.0,51522.0,37143.0,11311.0,926259.0
- Mua trong kỳ,Nguyên giá TSCĐ hữu hình > - Mua trong kỳ,- Mua trong kỳ,4.144,1.241,3.608,906,461,10.360,4144.0,1241.0,3608.0,906.0,461.0,10360.0
- Tăng khác,Nguyên giá TSCĐ hữu hình > - Tăng khác,- Tăng khác,144.237,,,,,144.237,144237.0,,,,,144237.0
- Tăng do điều chuyển,Nguyên giá TSCĐ hữu hình > - Tăng do điều chuyển,- Tăng do điều chuyển,,,530,,,530,,,530.0,,,530.0
- Tăng do điều chỉnh,Nguyên giá TSCĐ hữu hình > - Tăng do điều chỉnh,- Tăng do điều chỉnh,3.853,486,,11,35,4.385,3853.0,486.0,,11.0,35.0,4385.0
"- Thanh lý, nhượng bán","Nguyên giá TSCĐ hữu hình > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",,(372),(448),(202),(69),(1.091),,-372.0,-448.0,-202.0,-69.0,-1091.0
- Giảm do điều chuyển,Nguyên giá TSCĐ hữu hình > - Giảm do điều chuyển,- Giảm do điều chuyển,(11.273),,(530),,,(11.803),-11273.0,,-530.0,,,-11803.0
- Giảm do điều chỉnh,Nguyên giá TSCĐ hữu hình > - Giảm do điều chỉnh,- Giảm do điều chỉnh,(3.887),(331),,(595),(84),(4.897),-3887.0,-331.0,,-595.0,-84.0,-4897.0
Số dư cuối năm,Nguyên giá TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,894.145,70.236,54.682,37.263,11.654,1.067.980,894145.0,70236.0,54682.0,37263.0,11654.0,1067980.0
Giả trị hao mòn lũy kế,Giả trị hao mòn lũy kế,Giả trị hao mòn lũy kế,Giả trị hao mòn lũy kế,Giả trị hao mòn lũy kế,Giả trị hao mòn lũy kế,Giả trị hao mòn lũy kế,Giả trị hao mòn lũy kế,Giả trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giả trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,190.363,59.995,41.404,22.238,9.335,323.335,190363.0,59995.0,41404.0,22238.0,9335.0,323335.0
- Hao mòn trong kỳ,Giả trị hao mòn lũy kế > - Hao mòn trong kỳ,- Hao mòn trong kỳ,31.437,2.526,2.772,3.116,684,40.535,31437.0,2526.0,2772.0,3116.0,684.0,40535.0
- Hao mòn trong kỳ (của công ty con),Giả trị hao mòn lũy kế > - Hao mòn trong kỳ (của công ty con),- Hao mòn trong kỳ (của công ty con),,62,170,,,232,,62.0,170.0,,,232.0
- Tăng do điều chuyển,Giả trị hao mòn lũy kế > - Tăng do điều chuyển,- Tăng do điều chuyển,,,530,,,530,,,530.0,,,530.0
- Tăng do điều chỉnh,Giả trị hao mòn lũy kế > - Tăng do điều chỉnh,- Tăng do điều chỉnh,2.593,621,116,226,26,3.582,2593.0,621.0,116.0,226.0,26.0,3582.0
"- Thanh lý, nhượng bán","Giả trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",,(372),(448),(202),(69),(1.091),,-372.0,-448.0,-202.0,-69.0,-1091.0
- Giảm do điều chuyển,Giả trị hao mòn lũy kế > - Giảm do điều chuyển,- Giảm do điều chuyển,(3.067),,(530),,,(3.597),-3067.0,,-530.0,,,-3597.0
- Giảm do điều chỉnh,Giả trị hao mòn lũy kế > - Giảm do điều chỉnh,- Giảm do điều chỉnh,(2.614),(432),(116),(810),(122),(4.094),-2614.0,-432.0,-116.0,-810.0,-122.0,-4094.0
Số dư cuối năm,Giả trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,218.712,62.400,43.898,24.568,9.854,359.432,218712.0,62400.0,43898.0,24568.0,9854.0,359432.0
Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,,,,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ hữu hình > Số dư đầu năm,Số dư đầu năm,566.708,9.217,10.118,14.905,1.976,602.924,566708.0,9217.0,10118.0,14905.0,1976.0,602924.0
Số dư cuối năm,Giá trị còn lại của TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,675.433,7.836,10.784,12.695,1.800,708.548,675433.0,7836.0,10784.0,12695.0,1800.0,708548.0
