row_label_raw,row_label_full,31/12/2016,Tổng dư nợ cho vay,Tổng tiền gửi của khách hàng,Các cam kết tin dụng,CCTC phái sinh (Tổng giá trị giao dịch theo hợp đồng),Kinh doanh và đầu tư chứng khoán,numeric__Tổng dư nợ cho vay,numeric__Tổng tiền gửi của khách hàng,numeric__Các cam kết tin dụng,numeric__CCTC phái sinh (Tổng giá trị giao dịch theo hợp đồng),numeric__Kinh doanh và đầu tư chứng khoán
Trong nước,Trong nước,Trong nước,12.533.642,14.168.928,278.084,-,2.389.792,12533642.0,14168928.0,278084.0,,2389792.0
Ngoài nước,Ngoài nước,Ngoài nước,-,-,-,-,-,,,,,
2 Mức độ tập trung theo ngành nghề kinh doanh,2 Mức độ tập trung theo ngành nghề kinh doanh,2 Mức độ tập trung theo ngành nghề kinh doanh,2 Mức độ tập trung theo ngành nghề kinh doanh,2 Mức độ tập trung theo ngành nghề kinh doanh,2 Mức độ tập trung theo ngành nghề kinh doanh,31/12/2017,31/12/2016,,,,,
Lợi nhuận kế toán sau thuế theo ngành ngăn hàng,2 Mức độ tập trung theo ngành nghề kinh doanh > Lợi nhuận kế toán sau thuế theo ngành ngăn hàng,Lợi nhuận kế toán sau thuế theo ngành ngăn hàng,Lợi nhuận kế toán sau thuế theo ngành ngăn hàng,Lợi nhuận kế toán sau thuế theo ngành ngăn hàng,Lợi nhuận kế toán sau thuế theo ngành ngăn hàng,54.595,139.400,,,,54595.0,139400.0
"Lợi nhuận kế toán sau thuế theo ngành nhà hàng, khách sạn","2 Mức độ tập trung theo ngành nghề kinh doanh > Lợi nhuận kế toán sau thuế theo ngành nhà hàng, khách sạn","Lợi nhuận kế toán sau thuế theo ngành nhà hàng, khách sạn","Lợi nhuận kế toán sau thuế theo ngành nhà hàng, khách sạn","Lợi nhuận kế toán sau thuế theo ngành nhà hàng, khách sạn","Lợi nhuận kế toán sau thuế theo ngành nhà hàng, khách sạn",3.226,3.714,,,,3226.0,3714.0
Lợi nhuận loại trừ trên báo cáo hợp nhất,2 Mức độ tập trung theo ngành nghề kinh doanh > Lợi nhuận loại trừ trên báo cáo hợp nhất,Lợi nhuận loại trừ trên báo cáo hợp nhất,Lợi nhuận loại trừ trên báo cáo hợp nhất,Lợi nhuận loại trừ trên báo cáo hợp nhất,Lợi nhuận loại trừ trên báo cáo hợp nhất,(3.226),(3.714),,,,-3226.0,-3714.0
Tổng lợi nhuận kế toán sau thuế trên báo cáo tài chính hợp nhất,2 Mức độ tập trung theo ngành nghề kinh doanh > Tổng lợi nhuận kế toán sau thuế trên báo cáo tài chính hợp nhất,Tổng lợi nhuận kế toán sau thuế trên báo cáo tài chính hợp nhất,Tổng lợi nhuận kế toán sau thuế trên báo cáo tài chính hợp nhất,Tổng lợi nhuận kế toán sau thuế trên báo cáo tài chính hợp nhất,Tổng lợi nhuận kế toán sau thuế trên báo cáo tài chính hợp nhất,54.595,139.400,,,,54595.0,139400.0
