row_label_raw,row_label_full,CHỈ TIỀU,Vốn góp chủ sở hữu,Thặng dư vốn cổ phần,Chênh lệch tỷ giá hối đoái,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ đầu tư phát triển,Quỹ dự phòng tài chính,Lợi nhuận chưa phân phối,Tổng,numeric__Vốn góp chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ dự phòng tài chính,numeric__Lợi nhuận chưa phân phối,numeric__Tổng
Số dư tại ngày 01/01/2016,Số dư tại ngày 01/01/2016,Số dư tại ngày 01/01/2016,3.080.000,716,-,39.062,8.817,197.803,64.546,3.390.944,3080000.0,716.0,,39062.0,8817.0,197803.0,64546.0,3390944.0
Lợi nhuận sau thuế năm 2016,Lợi nhuận sau thuế năm 2016,Lợi nhuận sau thuế năm 2016,-,-,-,-,-,-,139.400,139.400,,,,,,,139400.0,139400.0
Chi cổ tức từ lợi nhuận năm 2015,Chi cổ tức từ lợi nhuận năm 2015,Chi cổ tức từ lợi nhuận năm 2015,-,-,-,-,-,-,-,-,,,,,,,,
Trích lập các quỹ từ lợi nhuận năm 2015,Chi cổ tức từ lợi nhuận năm 2015 > Trích lập các quỹ từ lợi nhuận năm 2015,Trích lập các quỹ từ lợi nhuận năm 2015,-,-,-,2.157,-,4.311,(6.468),-,,,,2157.0,,4311.0,-6468.0,
"Trích quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2015","Chi cổ tức từ lợi nhuận năm 2015 > Trích quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2015","Trích quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2015",-,-,-,-,-,-,(15.499),(15.499),,,,,,,-15499.0,-15499.0
Số dư tại ngày 31/12/2016,Chi cổ tức từ lợi nhuận năm 2015 > Số dư tại ngày 31/12/2016,Số dư tại ngày 31/12/2016,3.080.000,716,-,41.219,8.817,202.114,181.979,3.514.845,3080000.0,716.0,,41219.0,8817.0,202114.0,181979.0,3514845.0
Số dư tại ngày 01/01/2017,Chi cổ tức từ lợi nhuận năm 2015 > Số dư tại ngày 01/01/2017,Số dư tại ngày 01/01/2017,3.080.000,716,-,41.219,8.817,202.114,181.979,3.514.845,3080000.0,716.0,,41219.0,8817.0,202114.0,181979.0,3514845.0
Lợi nhuận sau thuế năm 2017,Chi cổ tức từ lợi nhuận năm 2015 > Lợi nhuận sau thuế năm 2017,Lợi nhuận sau thuế năm 2017,-,-,-,-,-,-,54.595,54.595,,,,,,,54595.0,54595.0
Chi cổ tức từ lợi nhuận năm 2016,Chi cổ tức từ lợi nhuận năm 2015 > Chi cổ tức từ lợi nhuận năm 2016,Chi cổ tức từ lợi nhuận năm 2016,-,-,-,-,-,-,(123.200),(123.200),,,,,,,-123200.0,-123200.0
Trích lập các quỹ từ lợi nhuận năm 2016,Chi cổ tức từ lợi nhuận năm 2015 > Trích lập các quỹ từ lợi nhuận năm 2016,Trích lập các quỹ từ lợi nhuận năm 2016,-,-,-,6.970,-,13.940,(20.910),-,,,,6970.0,,13940.0,-20910.0,
"Trích quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2016","Chi cổ tức từ lợi nhuận năm 2015 > Trích quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2016","Trích quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2016",-,-,-,-,-,-,(27.000),(27.000),,,,,,,-27000.0,-27000.0
Trích quỹ hoạt động Hội đồng quản trị - Ban Kiểm soát,Chi cổ tức từ lợi nhuận năm 2015 > Trích quỹ hoạt động Hội đồng quản trị - Ban Kiểm soát,Trích quỹ hoạt động Hội đồng quản trị - Ban Kiểm soát,-,-,-,-,-,-,(2.000),(2.000),,,,,,,-2000.0,-2000.0
Số dư tại ngày 31/12/2017,Chi cổ tức từ lợi nhuận năm 2015 > Số dư tại ngày 31/12/2017,Số dư tại ngày 31/12/2017,3.080.000,716,-,48.189,8.817,216.054,63.464,3.417.240,3080000.0,716.0,,48189.0,8817.0,216054.0,63464.0,3417240.0
