row_label_raw,row_label_full,col_0,Vốn điều lệ triệu đồng,Thặng dư vốn cổ phần triệu đồng,Quỹ dự phòng tài chính triệu đồng,Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,Quỹ đầu tư phát triển triệu đồng,Vốn khác triệu đồng,Quỹ khác thuộc VCSH triệu đồng,Chênh lệch tỷ giá hối đoái triệu đồng,Lợi nhuận chưa phân phối triệu đồng,Lợi ích cổ đông không kiểm soát triệu đồng,Tổng cộng triệu đồng,numeric__Vốn điều lệ triệu đồng,numeric__Thặng dư vốn cổ phần triệu đồng,numeric__Quỹ dự phòng tài chính triệu đồng,numeric__Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,numeric__Quỹ đầu tư phát triển triệu đồng,numeric__Vốn khác triệu đồng,numeric__Quỹ khác thuộc VCSH triệu đồng,numeric__Chênh lệch tỷ giá hối đoái triệu đồng,numeric__Lợi nhuận chưa phân phối triệu đồng,numeric__Lợi ích cổ đông không kiểm soát triệu đồng,numeric__Tổng cộng triệu đồng
Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,34.187.153,30.306,2.875.557,1.515.314,37.518,152.474,17.438,53.523,7.092.011,2.872.716,48.834.010,34187153.0,30306.0,2875557.0,1515314.0,37518.0,152474.0,17438.0,53523.0,7092011.0,2872716.0,48834010.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,-,7.357.869,183.964,7.541.833,,,,,,,,,7357869.0,183964.0,7541833.0
Điều chỉnh do thay đổi tỷ lệ sở hữu tại Công ty con,Điều chỉnh do thay đổi tỷ lệ sở hữu tại Công ty con,Điều chỉnh do thay đổi tỷ lệ sở hữu tại Công ty con,-,-,(1.203),(1.203),-,-,-,-,(7.904),113.230,102.920,,,-1203.0,-1203.0,,,,,-7904.0,113230.0,102920.0
Trích bổ sung các quỹ theo quyết toán năm 2017,Trích bổ sung các quỹ theo quyết toán năm 2017,Trích bổ sung các quỹ theo quyết toán năm 2017,-,-,79.316,39.658,-,-,-,-,(260.618),-,(141.644),,,79316.0,39658.0,,,,,-260618.0,,-141644.0
Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,-,-,-,-,-,-,-,190.185,7.651,64.323,262.159,,,,,,,,190185.0,7651.0,64323.0,262159.0
Công ty con tạm trích Quỹ,Công ty con tạm trích Quỹ,Công ty con tạm trích Quỹ,-,-,5.402,14.131,34.566,-,2.959,-,(57.058),-,-,,,5402.0,14131.0,34566.0,,2959.0,,-57058.0,,
Công ty con quyết định trả cổ tức,Công ty con quyết định trả cổ tức,Công ty con quyết định trả cổ tức,-,-,-,-,-,-,-,-,-,(98.333),(98.333),,,,,,,,,,-98333.0,-98333.0
Sử dụng Quỹ trong năm,Sử dụng Quỹ trong năm,Sử dụng Quỹ trong năm,-,-,(515),-,-,-,-,-,-,-,(515),,,-515.0,,,,,,,,-515.0
"Trích Quỹ khen thưởng, phúc lợi Biến động do thanh lý khoản đầu tư vào công ty con IDCE","Trích Quỹ khen thưởng, phúc lợi Biến động do thanh lý khoản đầu tư vào công ty con IDCE","Trích Quỹ khen thưởng, phúc lợi Biến động do thanh lý khoản đầu tư vào công ty con IDCE",-,-,-,-,-,-,-,-,(1.772.392),(13.945),(1.786.337),,,,,,,,,-1772392.0,-13945.0,-1786337.0
"Trích Quỹ khen thưởng, phúc lợi Biến động do thanh lý khoản đầu tư vào công ty con IDCE","Trích Quỹ khen thưởng, phúc lợi Biến động do thanh lý khoản đầu tư vào công ty con IDCE","Trích Quỹ khen thưởng, phúc lợi Biến động do thanh lý khoản đầu tư vào công ty con IDCE",-,-,-,-,-,-,-,-,948,(74.329),(73.381),,,,,,,,,948.0,-74329.0,-73381.0
Khác,Khác,Khác,-,-,-,-,-,26.672,(948),(87.127),(19.081),(8.766),(89.250),,,,,,26672.0,-948.0,-87127.0,-19081.0,-8766.0,-89250.0
Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,34.187.153,30.306,2.958.557,1.567.900,72.084,179.146,19.449,156.581,12.341.426,3.038.860,54.551.462,34187153.0,30306.0,2958557.0,1567900.0,72084.0,179146.0,19449.0,156581.0,12341426.0,3038860.0,54551462.0
