row_label_raw,row_label_full,Ngân hàngTriệu đồng,Cho thuê tài chínhTriệu đồng,Bảo hiểmTriệu đồng,Chứng khoánTriệu đồng,KhácTriệu đồng,Loại trừTriệu đồng,Tổng cộngTriệu đồng,numeric__Cho thuê tài chínhTriệu đồng,numeric__Bảo hiểmTriệu đồng,numeric__Chứng khoánTriệu đồng,numeric__KhácTriệu đồng,numeric__Loại trừTriệu đồng,numeric__Tổng cộngTriệu đồng
34.581.555,34.581.555,34.581.555,44.130,232.655,107.937,4.815,(15.228),34.955.864,44130.0,232655.0,107937.0,4815.0,-15228.0,34955864.0
34.842.510,34.842.510,34.842.510,45.856,85.349,105.488,-,(123.339),34.955.864,45856.0,85349.0,105488.0,,-123339.0,34955864.0
(260.955),(260.955),(260.955),(1.726),147.306,2.449,4.815,108.111,-,-1726.0,147306.0,2449.0,4815.0,108111.0,
3.123.322,3.123.322,3.123.322,201,343.953,123.403,(11),(40.069),3.550.799,201.0,343953.0,123403.0,-11.0,-40069.0,3550799.0
3.102.339,3.102.339,3.102.339,295,301.637,146.067,(11),472,3.550.799,295.0,301637.0,146067.0,-11.0,472.0,3550799.0
20.983,20.983,20.983,(94),42.316,(22.664),-,(40.541),-,-94.0,42316.0,-22664.0,,-40541.0,
1.034.772,1.034.772,1.034.772,-,1.458,58,-,3.397,1.039.685,,1458.0,58.0,,3397.0,1039685.0
664.110,664.110,664.110,-,21.621,164.275,-,29.527,879.533,,21621.0,164275.0,,29527.0,879533.0
3.841.540,3.841.540,3.841.540,6,2.249,990,-,(29.610),3.815.175,6.0,2249.0,990.0,,-29610.0,3815175.0
295.724,295.724,295.724,-,6.066,13.400,-,(73.184),242.006,,6066.0,13400.0,,-73184.0,242006.0
43.541.023,43.541.023,43.541.023,44.337,608.002,410.063,4.804,(125.167),44.483.062,44337.0,608002.0,410063.0,4804.0,-125167.0,44483062.0
(8.560.933),(8.560.933),(8.560.933),(32.023),(198.921),(105.175),(4.468),21.866,(8.879.654),-32023.0,-198921.0,-105175.0,-4468.0,21866.0,-8879654.0
(964.531),(964.531),(964.531),(605),(8.033),(5.313),-,(64),(978.546),-605.0,-8033.0,-5313.0,,-64.0,-978546.0
(6.014.962),(6.014.962),(6.014.962),(14.256),(168.148),(60.415),(1.191),250,(6.258.722),-14256.0,-168148.0,-60415.0,-1191.0,250.0,-6258722.0
(15.540.426),(15.540.426),(15.540.426),(46.884),(375.102),(170.903),(5.659),22.052,(16.116.922),-46884.0,-375102.0,-170903.0,-5659.0,22052.0,-16116922.0
28.000.597,28.000.597,28.000.597,(2.547),232.900,239.160,(855),(103.115),28.366.140,-2547.0,232900.0,239160.0,-855.0,-103115.0,28366140.0
(18.866.224),(18.866.224),(18.866.224),(3.220),-,5.059,-,(29.250),(18.893.635),-3220.0,,5059.0,,-29250.0,-18893635.0
9.134.373,9.134.373,9.134.373,(5.767),232.900,244.219,(855),(132.365),9.472.505,-5767.0,232900.0,244219.0,-855.0,-132365.0,9472505.0
(1.814.285),(1.814.285),(1.814.285),-,(67.105),(45.176),(19),(43),(1.926.628),,-67105.0,-45176.0,-19.0,-43.0,-1926628.0
-,-,-,-,-,-,-,(4.044),(4.044),,,,,-4044.0,-4044.0
7.320.088,7.320.088,7.320.088,(5.767),165.795,199.043,(874),(136.452),7.541.833,-5767.0,165795.0,199043.0,-874.0,-136452.0,7541833.0
1.320.869.913,1.320.869.913,1.320.869.913,994.796,5.527.160,2.120.405,102.241,(16.576.841),1.313.037.674,994796.0,5527160.0,2120405.0,102241.0,-16576841.0,1313037674.0
1.266.175.198,1.266.175.198,1.266.175.198,121.840,3.189.898,783.256,947,(11.784.927),1.258.486.212,121840.0,3189898.0,783256.0,947.0,-11784927.0,1258486212.0
