row_label_raw,row_label_full,col_0,Tổng giá trị ghi sổ kế toán(theo tỷ giá tại ngày lập BCTC) > Tài sảnTriệu đồng,Tổng giá trị ghi sổ kế toán(theo tỷ giá tại ngày lập BCTC) > Công nợTriệu đồng,Tổng giá trị ghi sổ kế toán(theo tỷ giá tại ngày lập BCTC) > Giá trị thuầnTriệu đồng,numeric__Tổng giá trị ghi sổ kế toán(theo tỷ giá tại ngày lập BCTC) > Tài sảnTriệu đồng,numeric__Tổng giá trị ghi sổ kế toán(theo tỷ giá tại ngày lập BCTC) > Công nợTriệu đồng,numeric__Tổng giá trị ghi sổ kế toán(theo tỷ giá tại ngày lập BCTC) > Giá trị thuầnTriệu đồng
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,30.924.238,(30.731.215),193.023,30924238.0,-30731215.0,193023.0
Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,4.660.621,(4.623.051),37.570,4660621.0,-4623051.0,37570.0
Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,26.263.617,(26.108.164),155.453,26263617.0,-26108164.0,155453.0
Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,50.998,(50.318),680,50998.0,-50318.0,680.0
Hoán đổi lãi suất,Hoán đổi lãi suất,Hoán đổi lãi suất,50.998,(50.318),680,50998.0,-50318.0,680.0
,,,30.975.236,(30.781.533),193.703,30975236.0,-30781533.0,193703.0
