row_label_raw,row_label_full,Số dư đầu năm > Dư phòng trích trong năm (xem thuyết minh số 31) > Xử lý rủi ro trong năm,31/12/2018Triệu đồng > 611.345 > 40.130 > -,31/12/2017Triệu đồng > 153.388 > 460.584 > (2.846),numeric__31/12/2018Triệu đồng > 611.345 > 40.130 > -,numeric__31/12/2017Triệu đồng > 153.388 > 460.584 > (2.846)
Tăng khác,Tăng khác,Tăng khác,340,219,340.0,219.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,651.815,611.345,651815.0,611345.0
