row_label_raw,row_label_full,col_0,Dự phòng chungTriệu đồng,Dự phòng cụ thểTriệu đồng,Tổng cộngTriệu đồng,numeric__Dự phòng chungTriệu đồng,numeric__Dự phòng cụ thểTriệu đồng,numeric__Tổng cộngTriệu đồng
Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,6.273.198,5.076.584,11.349.782,6273198.0,5076584.0,11349782.0
Dự phòng rủi ro trích lập trong năm,Dự phòng rủi ro trích lập trong năm,Dự phòng rủi ro trích lập trong năm,844.203,16.668.594,17.512.797,844203.0,16668594.0,17512797.0
Sử dụng dự phòng xử lý rủi ro tín dụng(Giảm)/Tăng khác,Sử dụng dự phòng xử lý rủi ro tín dụng(Giảm)/Tăng khác,Sử dụng dự phòng xử lý rủi ro tín dụng(Giảm)/Tăng khác,-,(16.458.744),(16.458.744),,-16458744.0,-16458744.0
Sử dụng dự phòng xử lý rủi ro tín dụng(Giảm)/Tăng khác,Sử dụng dự phòng xử lý rủi ro tín dụng(Giảm)/Tăng khác,Sử dụng dự phòng xử lý rủi ro tín dụng(Giảm)/Tăng khác,(1.134),2.191,1.057,-1134.0,2191.0,1057.0
Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,7.116.267,5.288.625,12.404.892,7116267.0,5288625.0,12404892.0
