row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng cộngTriệu đồng,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng cộngTriệu đồng
,,,Trên 3thángTriệu đồng,Đến 3thángTriệu đồng,Đến 1thángTriệu đồng,Từ 1 đến 3thángTriệu đồng,Từ 3 đến 12thángTriệu đồng,Từ 1 đến 5nămTriệu đồng,Trên 5 nămTriệu đồng,Tổng cộngTriệu đồng,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,10.491.750,15.808,-,-,-,10.507.558,,,10491750.0,15808.0,,,,10507558.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,50.102.533,82.626,-,-,-,50.185.159,,,50102533.0,82626.0,,,,50185159.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),146,-,63.298.509,28.821.930,4.282.719,7.099.538,720.140,104.222.982,146.0,,63298509.0,28821930.0,4282719.0,7099538.0,720140.0,104222982.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,-,532.894,257.316,-,-,790.210,,,,532894.0,257316.0,,,790210.0
Các công cụ tài chính phải sinh và các tài sản tài chính phải sinh khác (*),Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính phải sinh khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính phải sinh khác (*),-,-,72.720,-,-,7.035,-,79.755,,,72720.0,,,7035.0,,79755.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),14.553.764,3.668.091,88.161.153,192.449.095,318.145.346,115.429.233,256.332.098,988.738.780,14553764.0,3668091.0,88161153.0,192449095.0,318145346.0,115429233.0,256332098.0,988738780.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),257.000,-,783.853,2.639.986,21.868.920,55.167.383,60.549.678,141.266.820,257000.0,,783853.0,2639986.0,21868920.0,55167383.0,60549678.0,141266820.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,2.736.155,2.736.155,,,,,,,2736155.0,2736155.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,29,3.204,10.663.479,10.666.712,,,,,29.0,3204.0,10663479.0,10666712.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),651.420,2.188,2.728.419,2.047.624,11.318.572,6.762.999,1.861.745,25.372.967,651420.0,2188.0,2728419.0,2047624.0,11318572.0,6762999.0,1861745.0,25372967.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,15.462.330,3.670.279,215.638.937,226.589.963,355.872.902,184.469.392,332.863.295,1.334.567.098,15462330.0,3670279.0,215638937.0,226589963.0,355872902.0,184469392.0,332863295.0,1334567098.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
