row_label_raw,row_label_full,col_0,Quá hạnTriệu đồng,Khôngchịu lãiTriệu đồng,Đến 1 thángTriệu đồng,Thời hạn định lại lãi suất > Từ 1 - 3 thángTriệu đồng,Thời hạn định lại lãi suất > Từ 3 - 6 thángTriệu đồng,Thời hạn định lại lãi suất > Từ 6 - 12thángTriệu đồng,Thời hạn định lại lãi suất > Từ 1 - 5 nămTriệu đồng,Thời hạn định lại lãi suất > Trên 5 nămTriệu đồng,Tổng cộngTriệu đồng,numeric__Quá hạnTriệu đồng,numeric__Khôngchịu lãiTriệu đồng,numeric__Đến 1 thángTriệu đồng,numeric__Thời hạn định lại lãi suất > Từ 1 - 3 thángTriệu đồng,numeric__Thời hạn định lại lãi suất > Từ 3 - 6 thángTriệu đồng,numeric__Thời hạn định lại lãi suất > Từ 6 - 12thángTriệu đồng,numeric__Thời hạn định lại lãi suất > Từ 1 - 5 nămTriệu đồng,numeric__Thời hạn định lại lãi suất > Trên 5 nămTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt vàng bạc, đá quý","Tài sản > Tiền mặt vàng bạc, đá quý","Tiền mặt vàng bạc, đá quý",-,10.507.558,-,-,-,-,-,-,10.507.558,,10507558.0,,,,,,,10507558.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,26.671.308,23.513.851,-,-,-,-,-,50.185.159,,26671308.0,23513851.0,,,,,,50185159.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),146,167.690,89.321.955,11.693.189,2.535.853,442.017,62.132,-,104.222.982,146.0,167690.0,89321955.0,11693189.0,2535853.0,442017.0,62132.0,,104222982.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,685.879,-,-,-,104.331,-,-,790.210,,685879.0,,,,104331.0,,,790210.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),-,-,9.530,,26.968,49.826,7.035,-,93.359,,,9530.0,,26968.0,49826.0,7035.0,,93359.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),18.221.855,-,275.686.585,345.250.406,224.412.835,87.165.981,22.330.192,15.670.926,988.738.780,18221855.0,,275686585.0,345250406.0,224412835.0,87165981.0,22330192.0,15670926.0,988738780.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),257.000,117.454,3.795.496,4.300.990,18.525.023,9.188.072,52.614.876,52.467.909,141.266.820,257000.0,117454.0,3795496.0,4300990.0,18525023.0,9188072.0,52614876.0,52467909.0,141266820.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,2.736.155,-,-,-,-,-,-,2.736.155,,2736155.0,,,,,,,2736155.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,10.666.712,-,-,-,-,-,-,10.666.712,,10666712.0,,,,,,,10666712.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),653.608,24.719.359,-,-,-,-,-,-,25.372.967,653608.0,24719359.0,,,,,,,25372967.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,19.132.609,76.272.115,392.327.417,361.244.585,245.500.679,96.950.227,75.014.235,68.138.835,1.334.580.702,19132609.0,76272115.0,392327417.0,361244585.0,245500679.0,96950227.0,75014235.0,68138835.0,1334580702.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Tiền gửi và vay từ NHNN và các TCTD khác,Nợ phải trả > Tiền gửi và vay từ NHNN và các TCTD khác,Tiền gửi và vay từ NHNN và các TCTD khác,-,-,107.863.935,22.330.263,32.836.672,14.085.112,7.058.537,321.029,184.495.548,,,107863935.0,22330263.0,32836672.0,14085112.0,7058537.0,321029.0,184495548.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,55.403,348.241.637,190.054.433,181.114.049,237.993.135,32.188.788,23.710,989.671.155,,55403.0,348241637.0,190054433.0,181114049.0,237993135.0,32188788.0,23710.0,989671155.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Nợ phải trả > Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),-,-,-,13.604,-,-,-,-,13.604,,,,13604.0,,,,,13604.0
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",-,-,11.474.603,44.994,104.581,172.072,314.137,185.809,12.296.196,,,11474603.0,44994.0,104581.0,172072.0,314137.0,185809.0,12296196.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,1.829.002,1.244.604,2.305.470,9.004.946,9.047.278,16.560.061,39.991.361,,,1829002.0,1244604.0,2305470.0,9004946.0,9047278.0,16560061.0,39991361.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,32.031.952,-,-,-,-,-,-,32.031.952,,32031952.0,,,,,,,32031952.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,32.087.355,469.409.177,213.687.898,216.360.772,261.255.265,48.608.740,17.090.609,1.258.499.816,,32087355.0,469409177.0,213687898.0,216360772.0,261255265.0,48608740.0,17090609.0,1258499816.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,19.132.609,44.184.760,(77.081.760),147.556.687,29.139.907,(164.305.038),26.405.495,51.048.226,76.080.886,19132609.0,44184760.0,-77081760.0,147556687.0,29139907.0,-164305038.0,26405495.0,51048226.0,76080886.0
Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của tài sản và công nợ (ròng),Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của tài sản và công nợ (ròng),Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của tài sản và công nợ (ròng),-,-,-,-,-,-,-,-,-,,,,,,,,,
"Mức chênh nhạy cảm với lãi suất nội, ngoại bảng","Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của tài sản và công nợ (ròng) > Mức chênh nhạy cảm với lãi suất nội, ngoại bảng","Mức chênh nhạy cảm với lãi suất nội, ngoại bảng",19.132.609,44.184.760,(77.081.760),147.556.687,29.139.907,(164.305.038),26.405.495,51.048.226,76.080.886,19132609.0,44184760.0,-77081760.0,147556687.0,29139907.0,-164305038.0,26405495.0,51048226.0,76080886.0
