row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận tảiTriệu đồng,Thiết bị dụng cụquản lýTriệu đồng,Tài sản cố địnhkhácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tảiTriệu đồng,numeric__Thiết bị dụng cụquản lýTriệu đồng,numeric__Tài sản cố địnhkhácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,5.608.370,3.890.911,1.248.105,147.622,98.318,10.993.326,5608370.0,3890911.0,1248105.0,147622.0,98318.0,10993326.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,8.500,170.558,21.164,7.229,11.188,218.639,8500.0,170558.0,21164.0,7229.0,11188.0,218639.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,527.943,206.877,44.719,18.228,4.566,802.333,527943.0,206877.0,44719.0,18228.0,4566.0,802333.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(10.043),(78.883),(37.518),(4.991),(1.705),(133.140),-10043.0,-78883.0,-37518.0,-4991.0,-1705.0,-133140.0
Tăng/(giảm) khác,Nguyên giá > Tăng/(giảm) khác,Tăng/(giảm) khác,159.666,51.555,5.842,1.343,(15),218.391,159666.0,51555.0,5842.0,1343.0,-15.0,218391.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,6.294.436,4.241.018,1.282.312,169.431,112.352,12.099.549,6294436.0,4241018.0,1282312.0,169431.0,112352.0,12099549.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.396.780,2.720.844,766.197,97.160,63.077,5.044.058,1396780.0,2720844.0,766197.0,97160.0,63077.0,5044058.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,272.879,348.734,114.709,23.423,18.798,778.543,272879.0,348734.0,114709.0,23423.0,18798.0,778543.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(7.554),(76.496),(36.511),(4.728),(1.615),(126.904),-7554.0,-76496.0,-36511.0,-4728.0,-1615.0,-126904.0
Tăng khác,Giá trị hao mòn lũy kế > Tăng khác,Tăng khác,15.839,26.790,6.945,1.685,342,51.601,15839.0,26790.0,6945.0,1685.0,342.0,51601.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.677.944,3.019.872,851.340,117.540,80.602,5.747.298,1677944.0,3019872.0,851340.0,117540.0,80602.0,5747298.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,4.211.590,1.170.067,481.908,50.462,35.241,5.949.268,4211590.0,1170067.0,481908.0,50462.0,35241.0,5949268.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,4.616.492,1.221.146,430.972,51.891,31.750,6.352.251,4616492.0,1221146.0,430972.0,51891.0,31750.0,6352251.0
