row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu đồng,Phần mềm máy vi tínhTriệu đồng,TSCĐ vô hình khácTriệu đồng,Tổng cộngTriệu đồng,numeric__Quyền sử dụng đấtTriệu đồng,numeric__Phần mềm máy vi tínhTriệu đồng,numeric__TSCĐ vô hình khácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,4.123.318,1.422.214,7.596,5.553.128,4123318.0,1422214.0,7596.0,5553128.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,4.425,68.793,3.651,76.869,4425.0,68793.0,3651.0,76869.0
Tăng/(giảm) khác,Nguyên giá > Tăng/(giảm) khác,Tăng/(giảm) khác,-,(1.551),-,(1.551),,-1551.0,,-1551.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",6.075,37.197,215,43.487,6075.0,37197.0,215.0,43487.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.133.818,1.526.653,11.462,5.671.933,4133818.0,1526653.0,11462.0,5671933.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,260.602,891.386,1.888,1.153.876,260602.0,891386.0,1888.0,1153876.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,30.215,169.217,570,200.002,30215.0,169217.0,570.0,200002.0
Tăng/(giảm) khác,Giá trị hao mòn lũy kế > Tăng/(giảm) khác,Tăng/(giảm) khác,-,(1.457),-,(1.457),,-1457.0,,-1457.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(123),5.174,-,5.051,-123.0,5174.0,,5051.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,290.694,1.064.320,2.458,1.357.472,290694.0,1064320.0,2458.0,1357472.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.862.716,530.828,5.708,4.399.252,3862716.0,530828.0,5708.0,4399252.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.843.124,462.333,9.004,4.314.461,3843124.0,462333.0,9004.0,4314461.0
