row_label_raw,row_label_full,col_0,Thuyết minh,2018 Triệu đồng,2017 Triệu đồng,numeric__Thuyết minh,numeric__2018 Triệu đồng,numeric__2017 Triệu đồng
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ Mua sắm tài sản cố định,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ Mua sắm tài sản cố định,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ Mua sắm tài sản cố định,,1.114.404,(1.438.147),,1114404.0,-1438147.0
"Tiền thu từ thanh lý, nhượng bán tài sản cố định","Tiền thu từ thanh lý, nhượng bán tài sản cố định","Tiền thu từ thanh lý, nhượng bán tài sản cố định",,13.415,11.186,,13415.0,11186.0
"Tiền chi cho thanh lý, nhượng bán tài sản cố định","Tiền chi cho thanh lý, nhượng bán tài sản cố định","Tiền chi cho thanh lý, nhượng bán tài sản cố định",,(5.161),(6.196),,-5161.0,-6196.0
"Tiền thu đầu tư, góp vốn vào các đơn vị khác (Thu bán, thanh lý công ty con, góp vốn liên doanh, các khoản đầu tư dài hạn khác)","Tiền thu đầu tư, góp vốn vào các đơn vị khác (Thu bán, thanh lý công ty con, góp vốn liên doanh, các khoản đầu tư dài hạn khác)","Tiền thu đầu tư, góp vốn vào các đơn vị khác (Thu bán, thanh lý công ty con, góp vốn liên doanh, các khoản đầu tư dài hạn khác)",,56.220,1.325.492,,56220.0,1325492.0
"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn","Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn","Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,128.194,141.026,,128194.0,141026.0
Lưu chuyển tiền thuần từ/(sử dụng vào) hoạt động đầu tư,Lưu chuyển tiền thuần từ/(sử dụng vào) hoạt động đầu tư,Lưu chuyển tiền thuần từ/(sử dụng vào) hoạt động đầu tư,,1.307.072,33.361,,1307072.0,33361.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH Giảm vốn cổ phần từ góp vốn,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH Giảm vốn cổ phần từ góp vốn,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH Giảm vốn cổ phần từ góp vốn,,-,223.951,,,223951.0
Cổ tức trả cho cổ đông,Cổ tức trả cho cổ đông,Cổ tức trả cho cổ đông,,(92.612),(2.546.165),,-92612.0,-2546165.0
Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,,(92.612),(2.322.214),,-92612.0,-2322214.0
Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền thuần trong năm,,20.665.421,33.678.895,,20665421.0,33678895.0
Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,,100.741.678,65.521.789,,100741678.0,65521789.0
Tiền và các khoản tương đương tiền nhận từ các công ty con khi hợp nhất,Tiền và các khoản tương đương tiền nhận từ các công ty con khi hợp nhất,Tiền và các khoản tương đương tiền nhận từ các công ty con khi hợp nhất,,-,1.540.994,,,1540994.0
Tiền và các khoản tương đương tiền cuối năm,Tiền và các khoản tương đương tiền cuối năm,Tiền và các khoản tương đương tiền cuối năm,35,121.407.099,100.741.678,35.0,121407099.0,100741678.0
