row_label_raw,row_label_full,col_0,Thuyết minh,2018 Triệu đồng,2017 Triệu đồng,numeric__Thuyết minh,numeric__2018 Triệu đồng,numeric__2017 Triệu đồng
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,24,90.074.018,78.628.515,24.0,90074018.0,78628515.0
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,25,(55.118.154),(47.673.184),25.0,-55118154.0,-47673184.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,,34.955.864,30.955.331,,34955864.0,30955331.0
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,26,6.801.845,5.611.617,26.0,6801845.0,5611617.0
Chi phí cho hoạt động dịch vụ,Chi phí cho hoạt động dịch vụ,Chi phí cho hoạt động dịch vụ,26,(3.251.046),(2.645.847),26.0,-3251046.0,-2645847.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,26,3.550.799,2.965.770,26.0,3550799.0,2965770.0
Lãi thuần từ hoạt động kinh doanh vàng và ngoại hối,Lãi thuần từ hoạt động kinh doanh vàng và ngoại hối,Lãi thuần từ hoạt động kinh doanh vàng và ngoại hối,27,1.039.685,668.128,27.0,1039685.0,668128.0
Lãi thuần từ mua bán chứng khoán kinh doanh,Lãi thuần từ mua bán chứng khoán kinh doanh,Lãi thuần từ mua bán chứng khoán kinh doanh,28.1,645.456,481.615,281.0,645456.0,481615.0
Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,28.2,234.077,331.341,282.0,234077.0,331341.0
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,29,5.337.309,4.594.254,29.0,5337309.0,4594254.0
Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,29,(1.522.134),(1.315.256),29.0,-1522134.0,-1315256.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,29,3.815.175,3.278.998,29.0,3815175.0,3278998.0
"Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần",30,242.006,335.537,30.0,242006.0,335537.0
TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,,44.483.062,39.016.720,,44483062.0,39016720.0
Chi phí cho nhân viên,Chi phí cho nhân viên,Chi phí cho nhân viên,31,(8.879.654),(8.500.439),31.0,-8879654.0,-8500439.0
Chi phí khấu hao và khấu trừ,Chi phí khấu hao và khấu trừ,Chi phí khấu hao và khấu trừ,31,(978.546),(931.231),31.0,-978546.0,-931231.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,,(6.258.722),(6.072.567),,-6258722.0,-6072567.0
TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,31,(16.116.922),(15.504.237),31.0,-16116922.0,-15504237.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,28.366.140,23.512.483,,28366140.0,23512483.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,,(18.893.635),(14.847.306),,-18893635.0,-14847306.0
TỔNG (Lỗ)/LỢI NHUẬN TRƯỚC THUẾ,TỔNG (Lỗ)/LỢI NHUẬN TRƯỚC THUẾ,TỔNG (Lỗ)/LỢI NHUẬN TRƯỚC THUẾ,,9.472.505,8.665.177,,9472505.0,8665177.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,33,(1.926.628),(1.757.940),33.0,-1926628.0,-1757940.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,(4.044),38.349,,-4044.0,38349.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,(1.930.672),(1.719.591),,-1930672.0,-1719591.0
LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,,7.541.833,6.945.586,,7541833.0,6945586.0
Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,,(183.964),(158.876),,-183964.0,-158876.0
Lợi nhuận thuần của chủ sở hữu,Lợi nhuận thuần của chủ sở hữu,Lợi nhuận thuần của chủ sở hữu,,7.357.869,6.786.710,,7357869.0,6786710.0
Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),,1.634,1.499,,1634.0,1499.0
