row_label_raw,row_label_full,Tên công ty,ĐKKD/QĐ thành lập,Ngành nghề hoạt động,% sở hữu,numeric__ĐKKD/QĐ thành lập,numeric__Ngành nghề hoạt động,numeric__% sở hữu
Công ty Cổ phầnCho thuê máy bayViệt Nam (“VALC”),Công ty Cổ phầnCho thuê máy bayViệt Nam (“VALC”),Công ty Cổ phầnCho thuê máy bayViệt Nam (“VALC”),0102384108 ngày 08 tháng 10 năm 2007 của Sở Kế hoạch và Đầu tư Hà Nội,Mua và cho thuê máy bay,"18,52%",,,0.1852
Công ty TNHH Lương thựcCampuchia - Việt Nam,Công ty TNHH Lương thựcCampuchia - Việt Nam,Công ty TNHH Lương thựcCampuchia - Việt Nam,"Inv.8010M/2010 ngày 21 tháng 04 năm 2010, cấp bởi Bộ Thương mại tại Phnom Penh, Campuchia",Kinh doanh lương thực và sản phẩm nông nghiệp,"33,00%",,,0.33
