row_label_raw,row_label_full,col_0,31/12/2018Triệu đồng,31/12/2017Triệu đồng,numeric__31/12/2018Triệu đồng,numeric__31/12/2017Triệu đồng
Chứng khoán Nợ,Chứng khoán Nợ,Chứng khoán Nợ,111.311.887,117.809.263,111311887.0,117809263.0
Trái phiếu Chính phủ,Trái phiếu Chính phủ,Trái phiếu Chính phủ,90.903.438,92.543.643,90903438.0,92543643.0
Trái phiếu do các TCTD khác trong nước phát hành,Trái phiếu do các TCTD khác trong nước phát hành,Trái phiếu do các TCTD khác trong nước phát hành,8.698.941,12.138.717,8698941.0,12138717.0
Trái phiếu do các TCKT trong nước phát hành,Trái phiếu do các TCKT trong nước phát hành,Trái phiếu do các TCKT trong nước phát hành,11.709.508,13.126.903,11709508.0,13126903.0
Chứng khoán Vốn,Chứng khoán Vốn,Chứng khoán Vốn,107.308,288.353,107308.0,288353.0
Chứng khoán Vốn do các TCTD khác trong nước phát hành,Chứng khoán Vốn do các TCTD khác trong nước phát hành,Chứng khoán Vốn do các TCTD khác trong nước phát hành,23.064,48.196,23064.0,48196.0
Chứng khoán Vốn do các TCKT trong nước phát hành,Chứng khoán Vốn do các TCKT trong nước phát hành,Chứng khoán Vốn do các TCKT trong nước phát hành,73.064,229.670,73064.0,229670.0
Chứng khoán Vốn nước ngoài,Chứng khoán Vốn nước ngoài,Chứng khoán Vốn nước ngoài,11.180,10.487,11180.0,10487.0
Dự phòng rủi ro chứng khoán sẵn sàng đề bán,Dự phòng rủi ro chứng khoán sẵn sàng đề bán,Dự phòng rủi ro chứng khoán sẵn sàng đề bán,(183.667),(219.772),-183667.0,-219772.0
Dự phòng giảm giá,Dự phòng giảm giá,Dự phòng giảm giá,(41.909),(41.767),-41909.0,-41767.0
Dự phòng chung,Dự phòng chung,Dự phòng chung,(141.758),(178.005),-141758.0,-178005.0
,,,111.235.528,117.877.844,111235528.0,117877844.0
