row_label_raw,row_label_full,Bên liên quan,Các giao dịch,Triệu đồng,numeric__Các giao dịch,numeric__Triệu đồng
Cơ quanquản lýNhà nước,Cơ quanquản lýNhà nước,Cơ quanquản lýNhà nước,Tăng tiền gửi của Ngân hàng tại cơ quan quản lýTăng tiền gửi của cơ quan quản lý tại Ngân hàngGiảm khoản vay của Ngân hàng từ cơ quan quản lý,20.872.27130.367.093(2.085.595),,
Các côngty liêndoanh,Các côngty liêndoanh,Các côngty liêndoanh,Tăng tiền gửi tại Ngân hàng của các công ty liên doanhTăng tiền gửi của Ngân hàng tại các công ty liên doanhGiảm tiền vay từ Ngân hàng của các công ty liên doanh,221.656283.076(38.271),,
Các côngty liên kết,Các côngty liên kết,Các côngty liên kết,Giảm tiền gửi tại Ngân hàng của các công ty liên kếtGiảm tiền vay từ Ngân hàng của các công ty liên kết,(557.938)(223.583),,
