row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Thiết bịquản lýVND,Phương tiệnvận tảiVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Thiết bịquản lýVND,numeric__Phương tiệnvận tảiVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2023,Nguyên giá > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,104.220.790.581,10.429.994.422.723,91.856.146.811,13.752.023.259,10.639.823.383.374,104220790581.0,10429994422723.0,91856146811.0,13752023259.0,10639823383374.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,811.200.000,559.117.126.688,1.813.034.862,2.518.522.727,564.259.884.277,811200000.0,559117126688.0,1813034862.0,2518522727.0,564259884277.0
Chuyển sang từ chi phí xây dựngcơ bản đồ dang,Nguyên giá > Chuyển sang từ chi phí xây dựngcơ bản đồ dang,Chuyển sang từ chi phí xây dựngcơ bản đồ dang,-,1.118.417.199.839,-,-,1.118.417.199.839,,1118417199839.0,,,1118417199839.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,1.062.423.833,52.544.319.993,(51.647.812.927),(893.007.066),1.065.923.833,1062423833.0,52544319993.0,-51647812927.0,-893007066.0,1065923833.0
"Thanh lý, xóa sổ","Nguyên giá > Thanh lý, xóa sổ","Thanh lý, xóa sổ",-,(253.582.398.538),(4.708.166.288),(1.353.636.364),(259.644.201.190),,-253582398538.0,-4708166288.0,-1353636364.0,-259644201190.0
Tại ngày 31 tháng 12 năm 2023,Nguyên giá > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,106.094.414.414,11.906.490.670.705,37.313.202.458,14.023.902.556,12.063.922.190.133,106094414414.0,11906490670705.0,37313202458.0,14023902556.0,12063922190133.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,(28.347.843.382),(5.651.072.240.954),(88.512.635.419),(8.377.134.918),(5.776.309.854.673),-28347843382.0,-5651072240954.0,-88512635419.0,-8377134918.0,-5776309854673.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(4.402.988.681),(1.186.422.152.206),(1.420.902.100),(1.791.460.163),(1.194.037.503.150),-4402988681.0,-1186422152206.0,-1420902100.0,-1791460163.0,-1194037503150.0
Phân loại lại,Giá trị khấu hao lũy kế > Phân loại lại,Phân loại lại,-,(52.544.319.993),51.647.812.927,893.007.066,(3.500.000),,-52544319993.0,51647812927.0,893007066.0,-3500000.0
"Thanh lý, xóa sổ","Giá trị khấu hao lũy kế > Thanh lý, xóa sổ","Thanh lý, xóa sổ",-,221.520.296.428,4.707.189.226,1.353.636.364,227.581.122.018,,221520296428.0,4707189226.0,1353636364.0,227581122018.0
Tại ngày 31 tháng 12 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,(32.750.832.063),(6.668.518.416.725),(33.578.535.366),(7.921.951.651),(6.742.769.735.805),-32750832063.0,-6668518416725.0,-33578535366.0,-7921951651.0,-6742769735805.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,75.872.947.199,4.778.922.181.769,3.343.511.392,5.374.888.341,4.863.513.528.701,75872947199.0,4778922181769.0,3343511392.0,5374888341.0,4863513528701.0
Tại ngày 31 tháng 12 năm 2023,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,73.343.582.351,5.237.972.253.980,3.734.667.092,6.101.950.905,5.321.152.454.328,73343582351.0,5237972253980.0,3734667092.0,6101950905.0,5321152454328.0
