row_label_raw,row_label_full,01,Lợi nhuận kế toán trước thuếĐiều chỉnh cho các khoản:,2.829.509.026.240,2.499.887.080.500,numeric__Lợi nhuận kế toán trước thuếĐiều chỉnh cho các khoản:,numeric__2.829.509.026.240,numeric__2.499.887.080.500
02,02,02,"Khấu hao tài sản cố định (""TSCĐ"")",1.281.438.946.345,1.116.509.523.136,,1281438946345.0,1116509523136.0
03,03,03,Các khoản dự phòng,132.660.399.876,41.647.374.431,,132660399876.0,41647374431.0
04,04,04,Lãi chênh lệch tỷ giá hối đoái do đánh giá lạicác khoản mục tiền tệ có gốc ngoại tệ,(11.989.425.798),(15.901.785.305),,-11989425798.0,-15901785305.0
05,05,05,Lãi từ hoạt động đầu tư,(928.996.524.435),(836.343.930.375),,-928996524435.0,-836343930375.0
06,06,06,Chi phí lãi vay,450.795.139.387,371.427.394.591,,450795139387.0,371427394591.0
08,08,08,Lợi nhuận từ hoạt động kinh doanh trước nhữngthay đổi vốn lưu động,3.753.417.561.615,3.177.225.656.978,,3753417561615.0,3177225656978.0
09,09,09,Tăng các khoản phải thu,(48.161.304.918),(73.308.661.885),,-48161304918.0,-73308661885.0
10,10,10,Giảm/(tăng) hàng tồn kho,282.998.000.295,(372.854.594.054),,282998000295.0,-372854594054.0
11,11,11,Giảm các khoản phải trả,(597.852.354.537),(126.055.867.417),,-597852354537.0,-126055867417.0
12,12,12,Giảm/(tăng) chi phí trả trước,150.909.892.186,(311.780.199.673),,150909892186.0,-311780199673.0
14,14,14,Tiền lãi vay đã trả,(436.707.766.496),(358.630.570.136),,-436707766496.0,-358630570136.0
15,15,15,Thuế TNDN đã nộp,(344.903.199.346),(509.762.730.189),,-344903199346.0,-509762730189.0
16,16,16,Tiền thu khác từ hoạt động kinh doanh,113.000.000,10.000.000,,113000000.0,10000000.0
17,17,17,Tiền chi khác từ hoạt động kinh doanh,(96.207.250.778),(131.282.817.265),,-96207250778.0,-131282817265.0
20,20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,2.663.606.578.021,1.293.560.216.359,,2663606578021.0,1293560216359.0
