row_label_raw,row_label_full,Ông Nguyễn Hoàng Linh > Ông Hoàng Việt Anh,Tổng Giám đốc(từ ngày 25 tháng 4 năm 2023) > Tổng Giám đốc(đến ngày 25 tháng 4 năm 2023),numeric__Tổng Giám đốc(từ ngày 25 tháng 4 năm 2023) > Tổng Giám đốc(đến ngày 25 tháng 4 năm 2023)
Bà Vũ Thị Mai Hương,Bà Vũ Thị Mai Hương,Bà Vũ Thị Mai Hương,Phó Tổng Giám đốc,
Ông Chu Hùng Thắng,Ông Chu Hùng Thắng,Ông Chu Hùng Thắng,Phó Tổng Giám đốc,
