row_label_raw,row_label_full,col_0,col_1,Tại ngày1.1.2023VND,Số phải thu trong năm VND,Số đã thực thu/cấn trừ trong năm VND,Tại ngày31.12.2023VND,numeric__col_1,numeric__Tại ngày1.1.2023VND,numeric__Số phải thu trong năm VND,numeric__Số đã thực thu/cấn trừ trong năm VND,numeric__Tại ngày31.12.2023VND
(a),(a),(a),Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,,
(a),(a) > (a),(a),Thuế TNDN,24.237.284.025,-,(24.237.284.025),-,,24237284025.0,,-24237284025.0,
(a),(a) > (a),(a),Thuế thu nhập cá nhân,28.568.251.480,609.557.454,(29.086.678.762),91.130.172,,28568251480.0,609557454.0,-29086678762.0,91130172.0
(a),(a) > (a),(a),Thuế GTGT,37.581.307.254,-,(37.581.307.254),-,,37581307254.0,,-37581307254.0,
(a),(a) > (a),(a),Thuế khác,2.365.985.307,-,(2.365.985.307),-,,2365985307.0,,-2365985307.0,
(a),(a) > (a),(a),,92.752.828.066,609.557.454,(93.271.255.348),91.130.172,,92752828066.0,609557454.0,-93271255348.0,91130172.0
(a),(a),(a),,Tại ngày1.1.2023VND,Số phải nộp trong năm VND,Số đã thực nộp/cấn trừ trong năm VND,Tại ngày31.12.2023VND,,,,,
(b),(b),(b),Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,,
(b),(b) > (b),(b),Thuế GTGT đầu ra,13.428.220.721,1.732.896.346.139,(1.701.723.086.379),44.601.480.481,,13428220721.0,1732896346139.0,-1701723086379.0,44601480481.0
(b),(b) > (b),(b),Thuế GTGT hàng nhập khẩu,-,121.067.842.737,(121.067.842.737),-,,,121067842737.0,-121067842737.0,
(b),(b) > (b),(b),"Thuế xuất, nhập khẩu",-,43.636.941,(43.636.941),-,,,43636941.0,-43636941.0,
(b),(b) > (b),(b),Thuế TNDN,-,482.631.626.964,(369.140.483.371),113.491.143.593,,,482631626964.0,-369140483371.0,113491143593.0
(b),(b) > (b),(b),Thuế nhà thầu,573.834.568,35.397.991.949,(32.991.870.105),2.979.956.412,,573834568.0,35397991949.0,-32991870105.0,2979956412.0
(b),(b) > (b),(b),Thuế thu nhập cá nhân,4.098.452.300,185.065.260.904,(168.361.989.732),20.801.723.472,,4098452300.0,185065260904.0,-168361989732.0,20801723472.0
(b),(b) > (b),(b),Thuế khác,-,699.335.111,(699.335.111),-,,,699335111.0,-699335111.0,
(b),(b) > (b),(b),,18.100.507.589,2.557.802.040.745,(2.394.028.244.376),181.874.303.958,,18100507589.0,2557802040745.0,-2394028244376.0,181874303958.0
