row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Giấy phép bản quyền và quyền khai thác VND,Phần mềm vi tính VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Giấy phép bản quyền và quyền khai thác VND,numeric__Phần mềm vi tính VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Tại ngày 1.1.2023,Nguyên giá > Tại ngày 1.1.2023,Tại ngày 1.1.2023,163.558.151.413,753.927.547.130,175.650.768.897,1.093.136.467.440,163558151413.0,753927547130.0,175650768897.0,1093136467440.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,25.113.193.868,2.435.072.107,2.653.542.140,30.201.808.115,25113193868.0,2435072107.0,2653542140.0,30201808115.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(1.062.423.833),-,(3.500.000),(1.065.923.833),-1062423833.0,,-3500000.0,-1065923833.0
"Thanh lý, xóa sồ","Nguyên giá > Thanh lý, xóa sồ","Thanh lý, xóa sồ",-,-,(236.367.186),(236.367.186),,,-236367186.0,-236367186.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(2.400.000.000),-,-,(2.400.000.000),-2400000000.0,,,-2400000000.0
Tại ngày 31.12.2023,Nguyên giá > Tại ngày 31.12.2023,Tại ngày 31.12.2023,185.208.921.448,756.362.619.237,178.064.443.851,1.119.635.984.536,185208921448.0,756362619237.0,178064443851.0,1119635984536.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,
Tại ngày 1.1.2023,Giá trị khấu hao lũy kế > Tại ngày 1.1.2023,Tại ngày 1.1.2023,-,(376.593.920.234),(101.459.285.731),(478.053.205.965),,-376593920234.0,-101459285731.0,-478053205965.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,(53.652.355.585),(33.749.087.610),(87.401.443.195),,-53652355585.0,-33749087610.0,-87401443195.0
Phân loại lại,Giá trị khấu hao lũy kế > Phân loại lại,Phân loại lại,-,-,3.500.000,3.500.000,,,3500000.0,3500000.0
"Thanh lý, xóa sồ","Giá trị khấu hao lũy kế > Thanh lý, xóa sồ","Thanh lý, xóa sồ",-,-,236.367.186,236.367.186,,,236367186.0,236367186.0
Tại ngày 31.12.2023,Giá trị khấu hao lũy kế > Tại ngày 31.12.2023,Tại ngày 31.12.2023,-,(430.246.275.819),(134.968.506.155),(565.214.781.974),,-430246275819.0,-134968506155.0,-565214781974.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày 1.1.2023,Giá trị còn lại > Tại ngày 1.1.2023,Tại ngày 1.1.2023,163.558.151.413,377.333.626.896,74.191.483.166,615.083.261.475,163558151413.0,377333626896.0,74191483166.0,615083261475.0
Tại ngày 31.12.2023,Giá trị còn lại > Tại ngày 31.12.2023,Tại ngày 31.12.2023,185.208.921.448,326.116.343.418,43.095.937.696,554.421.202.562,185208921448.0,326116343418.0,43095937696.0,554421202562.0
