row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócvà thiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịvăn phòngVND,Tài sãnkhácVND,TổngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịvăn phòngVND,numeric__Tài sãnkhácVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.471.415.069.857,10.273.310.183.375,470.065.259.436,87.597.045.920,27.050.374.923,13.329.437.933.511,2471415069857.0,10273310183375.0,470065259436.0,87597045920.0,27050374923.0,13329437933511.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,124.900.000,69.062.217.895,5.523.305.394,-,-,74.710.423.289,124900000.0,69062217895.0,5523305394.0,,,74710423289.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,72.900.561.390,100.359.483.607,1.783.750.049,-,-,175.043.795.046,72900561390.0,100359483607.0,1783750049.0,,,175043795046.0
Chuyển từ tài sản hữu hình thuê tài chính,Nguyên giá > Chuyển từ tài sản hữu hình thuê tài chính,Chuyển từ tài sản hữu hình thuê tài chính,-,120.808.224.881,9.560.000.000,-,-,130.368.224.881,,120808224881.0,9560000000.0,,,130368224881.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(71.955.649),(25.217.546.101),(7.518.767.367),-,-,(32.808.269.117),-71955649.0,-25217546101.0,-7518767367.0,,,-32808269117.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,(4.704.277.378),-,-,-,(4.704.277.378),,-4704277378.0,,,,-4704277378.0
Giảm từ quyết toán khối lượng côngtrình,Nguyên giá > Giảm từ quyết toán khối lượng côngtrình,Giảm từ quyết toán khối lượng côngtrình,(185.310.368),-,-,-,-,(185.310.368),-185310368.0,,,,,-185310368.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.544.183.265.230,10.533.618.286.279,479.413.547.512,87.597.045.920,27.050.374.923,13.671.862.519.864,2544183265230.0,10533618286279.0,479413547512.0,87597045920.0,27050374923.0,13671862519864.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,689.091.528.334,5.040.773.688.555,268.928.936.816,46.144.436.204,22.071.065.914,6.067.009.655.823,689091528334.0,5040773688555.0,268928936816.0,46144436204.0,22071065914.0,6067009655823.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,127.546.094.302,975.200.767.119,55.242.998.965,11.007.941.301,597.734.673,1.169.595.536.360,127546094302.0,975200767119.0,55242998965.0,11007941301.0,597734673.0,1169595536360.0
Chuyển từ tài sản hữu hình thuê tài chính,Giá trị hao mòn lũy kế > Chuyển từ tài sản hữu hình thuê tài chính,Chuyển từ tài sản hữu hình thuê tài chính,-,19.988.653.492,2.312.317.061,-,-,22.300.970.553,,19988653492.0,2312317061.0,,,22300970553.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(71.955.649),(20.067.711.030),(5.689.678.699),-,-,(25.829.345.378),-71955649.0,-20067711030.0,-5689678699.0,,,-25829345378.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,(4.023.993.434),-,-,-,(4.023.993.434),,-4023993434.0,,,,-4023993434.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,816.565.666.987,6.011.871.404.702,320.794.574.143,57.152.377.505,22.668.800.587,7.229.052.823.924,816565666987.0,6011871404702.0,320794574143.0,57152377505.0,22668800587.0,7229052823924.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.782.323.541.523,5.232.536.494.820,201.136.322.620,41.452.609.716,4.979.309.009,7.262.428.277.688,1782323541523.0,5232536494820.0,201136322620.0,41452609716.0,4979309009.0,7262428277688.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.727.617.598.243,4.521.746.881.577,158.618.973.369,30.444.668.415,4.381.574.336,6.442.809.695.940,1727617598243.0,4521746881577.0,158618973369.0,30444668415.0,4381574336.0,6442809695940.0
