row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư tại ngày1 tháng 10 năm 2020,Số dư tại ngày1 tháng 10 năm 2020,Số dư tại ngày1 tháng 10 năm 2020,4.446.252.130.000,151.583.183.521,(3.271.000.000),35.535.781.824,1.954.018.045.161,6.620.370.817,6.590.738.511.323,4446252130000.0,151583183521.0,-3271000000.0,35535781824.0,1954018045161.0,6620370817.0,6590738511323.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,4.313.507.233.783,(13.171.524),4.313.494.062.259,,,,,4313507233783.0,-13171524.0,4313494062259.0
Cổ phiếu phát hành đề trả cổ tức (*),Cổ phiếu phát hành đề trả cổ tức (*),Cổ phiếu phát hành đề trả cổ tức (*),444.566.830.000,-,-,-,(444.566.830.000),-,-,444566830000.0,,,,-444566830000.0,,
Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động,Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động,Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động,44.000.000.000,-,-,-,-,-,44.000.000.000,44000000000.0,,,,,,44000000000.0
Tái phát hành cổ phiếu quỹ,Tái phát hành cổ phiếu quỹ,Tái phát hành cổ phiếu quỹ,-,5.709.355.547,3.271.000.000,-,-,-,8.980.355.547,,5709355547.0,3271000000.0,,,,8980355547.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(46.120.560.692),-,(46.120.560.692),,,,,-46120560692.0,,-46120560692.0
Trích thưởng hoàn thành vượt kế hoạch sản xuất kinh doanh (**),Trích thưởng hoàn thành vượt kế hoạch sản xuất kinh doanh (**),Trích thưởng hoàn thành vượt kế hoạch sản xuất kinh doanh (**),-,-,-,-,(39.134.000.000),-,(39.134.000.000),,,,,-39134000000.0,,-39134000000.0
Phân bổ vào quỹ (***),Phân bổ vào quỹ (***),Phân bổ vào quỹ (***),-,-,-,104.632.701.681,(104.632.701.681),-,-,,,,104632701681.0,-104632701681.0,,
Sử dụng các quỹ,Sử dụng các quỹ,Sử dụng các quỹ,-,-,-,(49.473.282.240),-,-,(49.473.282.240),,,,-49473282240.0,,,-49473282240.0
Cổ đông không kiểm soát góp vốn vào công ty con,Cổ đông không kiểm soát góp vốn vào công ty con,Cổ đông không kiểm soát góp vốn vào công ty con,-,-,-,-,-,14.446.000.000,14.446.000.000,,,,,,14446000000.0,14446000000.0
Giảm do chuyển nhượng công ty con (Thuyết minh 5),Giảm do chuyển nhượng công ty con (Thuyết minh 5),Giảm do chuyển nhượng công ty con (Thuyết minh 5),-,-,-,-,-,(5.137.257.343),(5.137.257.343),,,,,,-5137257343.0,-5137257343.0
Số dư tại ngày30 tháng 9 năm 2021,Số dư tại ngày30 tháng 9 năm 2021,Số dư tại ngày30 tháng 9 năm 2021,4.934.818.960.000,157.292.539.068,-,90.695.201.265,5.633.071.186.571,15.915.941.950,10.831.793.828.854,4934818960000.0,157292539068.0,,90695201265.0,5633071186571.0,15915941950.0,10831793828854.0
