row_label_raw,row_label_full,col_0,30/9/2021 > Số ngày quá hạn,30/9/2021 > Giá gốc VND,30/9/2021 > Dự phòng VND,30/9/2021 > Giá trị có thể thu hồi VND,1/10/2020 > Số ngày quá hạn,1/10/2020 > Giá gốc VND,1/10/2020 > Dự phòng VND,1/10/2020 > Giá trị có thể thu hồi VND,numeric__30/9/2021 > Số ngày quá hạn,numeric__30/9/2021 > Giá gốc VND,numeric__30/9/2021 > Dự phòng VND,numeric__30/9/2021 > Giá trị có thể thu hồi VND,numeric__1/10/2020 > Số ngày quá hạn,numeric__1/10/2020 > Giá gốc VND,numeric__1/10/2020 > Dự phòng VND,numeric__1/10/2020 > Giá trị có thể thu hồi VND
Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,,,,,,,,
Công ty Cổ Phần Tư Văn Thương Mại Xây dựng Mê Kông,Nợ quá hạn > Công ty Cổ Phần Tư Văn Thương Mại Xây dựng Mê Kông,Công ty Cổ Phần Tư Văn Thương Mại Xây dựng Mê Kông,3 – 4 năm,1.648.743.436,(1.648.743.436),-,2 – 3 năm,1.648.743.436,(1.648.743.436),-,,1648743436.0,-1648743436.0,,,1648743436.0,-1648743436.0,
Công ty TNHH Hải Thuỷ,Nợ quá hạn > Công ty TNHH Hải Thuỷ,Công ty TNHH Hải Thuỷ,Trên 2 năm,1.545.000.625,(1.545.000.625),-,Trên 1 năm,1.545.000.625,(1.545.000.625),-,,1545000625.0,-1545000625.0,,,1545000625.0,-1545000625.0,
Công ty TNHH Thép Xây dựng Hiệp Loan,Nợ quá hạn > Công ty TNHH Thép Xây dựng Hiệp Loan,Công ty TNHH Thép Xây dựng Hiệp Loan,Trên 2 năm,1.243.508.106,(1.243.508.106),-,Trên 1 năm,1.243.508.106,(1.243.508.106),-,,1243508106.0,-1243508106.0,,,1243508106.0,-1243508106.0,
Công ty TNHH Một Thành Viên Sản Xuất Và Thương Mại Phúc Đức Doanh nghiệp tư nhân Hoàng Thái,Nợ quá hạn > Công ty TNHH Một Thành Viên Sản Xuất Và Thương Mại Phúc Đức Doanh nghiệp tư nhân Hoàng Thái,Công ty TNHH Một Thành Viên Sản Xuất Và Thương Mại Phúc Đức Doanh nghiệp tư nhân Hoàng Thái,Trên 2 năm,-,-,-,Trên 6 tháng,1.096.410.095,(1.096.410.095),-,,,,,,1096410095.0,-1096410095.0,
Công ty TNHH Một Thành Viên Sản Xuất Và Thương Mại Phúc Đức Doanh nghiệp tư nhân Hoàng Thái,Nợ quá hạn > Công ty TNHH Một Thành Viên Sản Xuất Và Thương Mại Phúc Đức Doanh nghiệp tư nhân Hoàng Thái,Công ty TNHH Một Thành Viên Sản Xuất Và Thương Mại Phúc Đức Doanh nghiệp tư nhân Hoàng Thái,Trên 2 năm,-,-,-,Trên 1 năm,1.023.359.294,(1.023.359.294),-,,,,,,1023359294.0,-1023359294.0,
"Công ty Thương Mại, Dịch Vụ Và Xây dựng Yên Mai (TNHH)","Nợ quá hạn > Công ty Thương Mại, Dịch Vụ Và Xây dựng Yên Mai (TNHH)","Công ty Thương Mại, Dịch Vụ Và Xây dựng Yên Mai (TNHH)",,-,-,-,Trên 6 tháng,839.518.227,(839.518.227),-,,,,,,839518227.0,-839518227.0,
Công ty TNHH Thương Mại & Sản Xuất Toàn Phát HN,Nợ quá hạn > Công ty TNHH Thương Mại & Sản Xuất Toàn Phát HN,Công ty TNHH Thương Mại & Sản Xuất Toàn Phát HN,,-,-,-,6 tháng – 1 năm,1.426.131.048,(1.426.131.048),-,,,,,,1426131048.0,-1426131048.0,
Các khách hàng khác,Nợ quá hạn > Các khách hàng khác,Các khách hàng khác,,11.388.683.691,(11.388.683.691),-,,16.875.016.697,(16.875.016.697),-,,11388683691.0,-11388683691.0,,,16875016697.0,-16875016697.0,
,,,,16.849.295.152,(16.849.295.152),-,,25.697.687.528,(25.697.687.528),-,,16849295152.0,-16849295152.0,,,25697687528.0,-25697687528.0,
