row_label_raw,row_label_full,col_0,Năm kết thúc ngày,Năm kết thúc ngày_1,numeric__Năm kết thúc ngày,numeric__Năm kết thúc ngày_1
,,,30/9/2021VND,30/9/2020VND,,
Thành viên Hội đồng quản trị,Thành viên Hội đồng quản trị,Thành viên Hội đồng quản trị,Thành viên Hội đồng quản trị,Thành viên Hội đồng quản trị,,
Thù lao,Thù lao,Thù lao,Thù lao,Thù lao,,
Ông Lê Phước Vũ – Chủ tịch,Thù lao > Ông Lê Phước Vũ – Chủ tịch,Ông Lê Phước Vũ – Chủ tịch,360.000.000,360.000.000,360000000.0,360000000.0
Ông Trần Ngọc Chu – Phó Chủ tịch,Thù lao > Ông Trần Ngọc Chu – Phó Chủ tịch,Ông Trần Ngọc Chu – Phó Chủ tịch,300.000.000,300.000.000,300000000.0,300000000.0
Ông Trần Quốc Trí – Thành viên,Thù lao > Ông Trần Quốc Trí – Thành viên,Ông Trần Quốc Trí – Thành viên,240.000.000,240.000.000,240000000.0,240000000.0
Ông Lý Văn Xuân – Thành viên,Thù lao > Ông Lý Văn Xuân – Thành viên,Ông Lý Văn Xuân – Thành viên,290.000.000,240.000.000,290000000.0,240000000.0
Ông Nguyễn Văn Luân – Thành viên,Thù lao > Ông Nguyễn Văn Luân – Thành viên,Ông Nguyễn Văn Luân – Thành viên,340.000.000,240.000.000,340000000.0,240000000.0
Ông Đình Việt Duy – Thành viên,Thù lao > Ông Đình Việt Duy – Thành viên,Ông Đình Việt Duy – Thành viên,290.000.000,240.000.000,290000000.0,240000000.0
Tổng Giám đốc,Tổng Giám đốc,Tổng Giám đốc,Tổng Giám đốc,Tổng Giám đốc,,
"Lương, thường và phúc lợi khác","Tổng Giám đốc > Lương, thường và phúc lợi khác","Lương, thường và phúc lợi khác",1.967.900.022,1.847.025.972,1967900022.0,1847025972.0
Những người quản lý khác,Những người quản lý khác,Những người quản lý khác,Những người quản lý khác,Những người quản lý khác,,
"Lương, thường và phúc lợi khác","Những người quản lý khác > Lương, thường và phúc lợi khác","Lương, thường và phúc lợi khác",34.209.331.101,9.705.523.866,34209331101.0,9705523866.0
