row_label_raw,row_label_full,col_0,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính),Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_1,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_2,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_3,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính),numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_1,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_2,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_3
Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,,,,
Bên cho vay,Bên cho vay,Bên cho vay,Thuyết minh,Loại tiền,30/9/2021 VND,1/10/2020 VND,,,,
Ngân hàng TMCP Công thương Việt Nam - Chi nhánh KCN Bình Dương,Bên cho vay > Ngân hàng TMCP Công thương Việt Nam - Chi nhánh KCN Bình Dương,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh KCN Bình Dương,(i),VND,75.643.458.480,1.171.017.687.810,,,75643458480.0,1171017687810.0
Ngân hàng TMCP Công thương Việt Nam - Chi nhánh KCN Bình Dương,Bên cho vay > Ngân hàng TMCP Công thương Việt Nam - Chi nhánh KCN Bình Dương,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh KCN Bình Dương,(i),USD,777.548.744.645,531.104.907.733,,,777548744645.0,531104907733.0
Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Nam Bình Dương,Bên cho vay > Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Nam Bình Dương,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Nam Bình Dương,(ii),VND,60.000.000.000,947.943.944.130,,,60000000000.0,947943944130.0
Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Nam Bình Dương,Bên cho vay > Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Nam Bình Dương,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Nam Bình Dương,(ii),USD,1.453.181.080.932,413.037.687.997,,,1453181080932.0,413037687997.0
Ngân hàng Đầu tư và Phát triển Việt Nam - Chi nhánh Sở Giao dịch 2,Bên cho vay > Ngân hàng Đầu tư và Phát triển Việt Nam - Chi nhánh Sở Giao dịch 2,Ngân hàng Đầu tư và Phát triển Việt Nam - Chi nhánh Sở Giao dịch 2,(iii),VND,347.681.380.658,472.377.287.783,,,347681380658.0,472377287783.0
Ngân hàng Đầu tư và Phát triển Việt Nam - Chi nhánh Sở Giao dịch 2,Bên cho vay > Ngân hàng Đầu tư và Phát triển Việt Nam - Chi nhánh Sở Giao dịch 2,Ngân hàng Đầu tư và Phát triển Việt Nam - Chi nhánh Sở Giao dịch 2,(iii),USD,-,99.439.545.965,,,,99439545965.0
Ngân hàng TNHH MTV HSBC (Việt Nam),Bên cho vay > Ngân hàng TNHH MTV HSBC (Việt Nam),Ngân hàng TNHH MTV HSBC (Việt Nam),(iv),VND,1.186.536.814.890,608.438.856.420,,,1186536814890.0,608438856420.0
Ngân hàng TMCP Phát triển TP. Hồ Chí Minh,Bên cho vay > Ngân hàng TMCP Phát triển TP. Hồ Chí Minh,Ngân hàng TMCP Phát triển TP. Hồ Chí Minh,(v),USD,-,213.385.900.000,,,,213385900000.0
Ngân hàng Sinopac - Chi nhánh TP. Hồ Chí Minh,Bên cho vay > Ngân hàng Sinopac - Chi nhánh TP. Hồ Chí Minh,Ngân hàng Sinopac - Chi nhánh TP. Hồ Chí Minh,(vi),VND,56.000.000.000,32.300.000.000,,,56000000000.0,32300000000.0
Ngân hàng TNHH MTV UOB Việt Nam,Bên cho vay > Ngân hàng TNHH MTV UOB Việt Nam,Ngân hàng TNHH MTV UOB Việt Nam,(vii),VND,34.366.092.843,101.516.310.719,,,34366092843.0,101516310719.0
