row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Năm kết thúc ngày > 30/9/2021 VND,Năm kết thúc ngày > 30/9/2020 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm kết thúc ngày > 30/9/2021 VND,numeric__Năm kết thúc ngày > 30/9/2020 VND
Tiền thu từ nhận góp vốn vào công ty con từ cổ đông không kiểm soát,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền thu từ nhận góp vốn vào công ty con từ cổ đông không kiểm soát,Tiền thu từ nhận góp vốn vào công ty con từ cổ đông không kiểm soát,32,,14.446.000.000,-,32.0,,14446000000.0,
Tiền thu từ đi vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền thu từ đi vay,Tiền thu từ đi vay,33,,38.252.605.550.541,22.583.653.369.329,33.0,,38252605550541.0,22583653369329.0
Tiền trả nợ gốc vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,34,,(39.543.878.574.152),(24.031.275.249.680),34.0,,-39543878574152.0,-24031275249680.0
Tiền trả nợ gốc thuê tài chính,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền trả nợ gốc thuê tài chính,Tiền trả nợ gốc thuê tài chính,35,,(60.381.309.809),(64.120.907.969),35.0,,-60381309809.0,-64120907969.0
Tiền trả cổ tức,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền trả cổ tức,Tiền trả cổ tức,36,,(307.131.948),(22.299.100),36.0,,-307131948.0,-22299100.0
Lưu chuyển tiền thuần từ hoạt động tài chính,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,,(1.284.535.109.821),(1.512.577.087.420),40.0,,-1284535109821.0,-1512577087420.0
Lưu chuyển tiền thuần trong năm (50 = 20 + 30 + 40),LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong năm (50 = 20 + 30 + 40),Lưu chuyển tiền thuần trong năm (50 = 20 + 30 + 40),50,,(84.116.829.714),286.164.568.882,50.0,,-84116829714.0,286164568882.0
Tiền và các khoản tương đương tiền đầu năm,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,60,,574.767.066.704,288.707.713.172,60.0,,574767066704.0,288707713172.0
Ảnh hưởng của chênh lệch tỷ giá quy đổi ngoại tệ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Ảnh hưởng của chênh lệch tỷ giá quy đổi ngoại tệ,Ảnh hưởng của chênh lệch tỷ giá quy đổi ngoại tệ,61,,2.146.545.200,(105.215.350),61.0,,2146545200.0,-105215350.0
Tiền và các khoản tương đương tiền cuối năm (70 = 50 + 60 + 61),LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và các khoản tương đương tiền cuối năm (70 = 50 + 60 + 61),Tiền và các khoản tương đương tiền cuối năm (70 = 50 + 60 + 61),70,6,492.796.782.190,574.767.066.704,70.0,6.0,492796782190.0,574767066704.0
