row_label_raw,row_label_full,col_0,30/9/2021Giá gốc/Số có khả năng trả nợ VND,1/10/2020Giá gốc/Số có khả năng trả nợ VND,numeric__30/9/2021Giá gốc/Số có khả năng trả nợ VND,numeric__1/10/2020Giá gốc/Số có khả năng trả nợ VND
Công Ty TNHH Gang Thép Hưng Nghiệp Formosa Hà Tĩnh,Công Ty TNHH Gang Thép Hưng Nghiệp Formosa Hà Tĩnh,Công Ty TNHH Gang Thép Hưng Nghiệp Formosa Hà Tĩnh,1.779.225.472.530,296.702.697.996,1779225472530.0,296702697996.0
"Xiamen ITG Group Corp., LTD.","Xiamen ITG Group Corp., LTD.","Xiamen ITG Group Corp., LTD.",630.195.444.218,-,630195444218.0,
Công ty TNHH Thép Kim Quốc,Công ty TNHH Thép Kim Quốc,Công ty TNHH Thép Kim Quốc,622.557.774.639,59.872.948.917,622557774639.0,59872948917.0
Nippon Steel Trading Corporation,Nippon Steel Trading Corporation,Nippon Steel Trading Corporation,-,303.482.841.213,,303482841213.0
Các nhà cung cấp khác,Các nhà cung cấp khác,Các nhà cung cấp khác,1.261.902.493.857,794.880.460.106,1261902493857.0,794880460106.0
,,,4.293.881.185.244,1.454.938.948.232,4293881185244.0,1454938948232.0
