row_label_raw,row_label_full,col_0,Năm kết thúc ngày,Năm kết thúc ngày_1,numeric__Năm kết thúc ngày,numeric__Năm kết thúc ngày_1
,,,30/9/2021VND,30/9/2020VND,,
Công ty thuộc sở hữu của Chủ tịch Tập đoàn,Công ty thuộc sở hữu của Chủ tịch Tập đoàn,Công ty thuộc sở hữu của Chủ tịch Tập đoàn,Công ty thuộc sở hữu của Chủ tịch Tập đoàn,Công ty thuộc sở hữu của Chủ tịch Tập đoàn,,
Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Công ty TNHH Tập đoàn Đầu tư Hoa Sen,,
Bán hàng hóa và thành phẩm,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Bán hàng hóa và thành phẩm,Bán hàng hóa và thành phẩm,3.491.098.491.681,3.310.303.106.066,3491098491681.0,3310303106066.0
Doanh thu cho thuê tài sản,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Doanh thu cho thuê tài sản,Doanh thu cho thuê tài sản,3.486.352.344,3.165.014.069,3486352344.0,3165014069.0
Mua hàng hóa và thành phẩm,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Mua hàng hóa và thành phẩm,Mua hàng hóa và thành phẩm,65.433.048,-,65433048.0,
Chiết khấu thương mại,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Chiết khấu thương mại,Chiết khấu thương mại,29.951.547.928,59.763.907.878,29951547928.0,59763907878.0
Phí vận chuyển,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Phí vận chuyển,Phí vận chuyển,71.877.987.424,60.304.523.944,71877987424.0,60304523944.0
Chi phí thuê hoạt động,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Chi phí thuê hoạt động,Chi phí thuê hoạt động,10.324.829.089,8.897.850.106,10324829089.0,8897850106.0
Hàng bán trả lại,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Hàng bán trả lại,Hàng bán trả lại,7.332.794.966,4.324.800.079,7332794966.0,4324800079.0
Lãi trả chậm,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Lãi trả chậm,Lãi trả chậm,4.314.972.614,1.783.817.982,4314972614.0,1783817982.0
Giảm giá hàng bán,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Giảm giá hàng bán,Giảm giá hàng bán,-,166.020.819,,166020819.0
Bán tài sản cố định,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Bán tài sản cố định,Bán tài sản cố định,278.700.000,-,278700000.0,
Mua tài sản cố định,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Mua tài sản cố định,Mua tài sản cố định,-,123.636.364,,123636364.0
Bán khác,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Bán khác,Bán khác,217.541.773,348.676.081,217541773.0,348676081.0
Mua khác,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Mua khác,Mua khác,4.028.182,-,4028182.0,
Công ty TNHH Một Thành Viên Đầu tư Hoa Sen Nghệ An,Công ty TNHH Một Thành Viên Đầu tư Hoa Sen Nghệ An,Công ty TNHH Một Thành Viên Đầu tư Hoa Sen Nghệ An,Công ty TNHH Một Thành Viên Đầu tư Hoa Sen Nghệ An,Công ty TNHH Một Thành Viên Đầu tư Hoa Sen Nghệ An,,
Phí vận chuyển,Công ty TNHH Một Thành Viên Đầu tư Hoa Sen Nghệ An > Phí vận chuyển,Phí vận chuyển,56.691.234.612,36.265.597.722,56691234612.0,36265597722.0
Doanh thu cho thuê tài sản,Công ty TNHH Một Thành Viên Đầu tư Hoa Sen Nghệ An > Doanh thu cho thuê tài sản,Doanh thu cho thuê tài sản,227.000.000,216.000.000,227000000.0,216000000.0
